종목코드,회사명,A_XBRL태그(조),B_fnltt(조),편차%,RCPS(조),판정
000880,한화,38.269,60.169,36,,B>A(XBRL누락?)
005930,삼성전자,7.678,25.239,70,,B>A(XBRL누락?)
030200,케이티,25.473,10.786,58,,A>B(fnltt축약?)
373220,LG에너지솔루션,33.678,22.512,33,,A>B(fnltt축약?)
051910,LG화학,44.484,33.812,24,,A>B(fnltt축약?)
017670,SK텔레콤,18.457,10.373,44,,A>B(fnltt축약?)
006260,LS,4.407,10.141,57,,B>A(XBRL누락?)
012450,한화에어로스페이스,18.222,12.825,30,0.019,A>B(fnltt축약?)
009830,한화솔루션,10.343,15.674,34,,B>A(XBRL누락?)
042660,한화오션,3.111,8.110,62,,B>A(XBRL누락?)
078930,GS,12.811,8.428,34,,A>B(fnltt축약?)
086520,에코프로,,3.771,,,B만
068270,셀트리온,3.729,,,,A만
066570,LG전자,17.296,13.960,19,,A>B(fnltt축약?)
000660,SK하이닉스,27.802,24.758,11,,합의
097950,CJ제일제당,8.770,11.530,24,,B>A(XBRL누락?)
004020,현대제철,7.189,9.908,27,,B>A(XBRL누락?)
010130,고려아연,7.475,5.805,22,,A>B(fnltt축약?)
034220,LG디스플레이,1.518,,,,A만
000270,기아,3.708,2.344,37,,A>B(fnltt축약?)
207940,삼성바이오로직스,2.125,0.927,56,,A>B(fnltt축약?)
021240,코웨이,1.018,2.174,53,,B>A(XBRL누락?)
035720,카카오,2.882,4.026,28,,B>A(XBRL누락?)
204320,HL만도,1.078,2.037,47,,B>A(XBRL누락?)
021320,KCC건설,,0.793,,,B만
161390,한국타이어앤테크놀로지,7.128,6.413,10,,합의
047040,대우건설,4.737,4.084,14,,합의
011170,롯데케미칼,10.249,9.614,6,,합의
011070,LG이노텍,2.811,2.282,19,,A>B(fnltt축약?)
329180,HD현대중공업,0.525,0.037,93,,A>B(fnltt축약?)
011780,금호석유화학,0.575,1.008,43,,B>A(XBRL누락?)
192820,코스맥스,0.416,,,,A만
035420,NAVER,4.584,4.173,9,,합의
247540,에코프로비엠,2.857,2.454,14,,합의
259960,크래프톤,0.629,0.254,60,,A>B(fnltt축약?)
010140,삼성중공업,2.681,2.307,14,,합의
000150,두산,9.753,10.126,4,,합의
018880,한온시스템,3.506,3.860,9,,합의
103140,풍산,1.426,1.076,25,,A>B(fnltt축약?)
004000,롯데정밀화학,0.268,0.001,100,,A>B(fnltt축약?)
012510,더존비즈온,0.547,0.297,46,,A>B(fnltt축약?)
017800,현대엘리베이터,0.753,0.939,20,,B>A(XBRL누락?)
183300,코미코,0.342,0.523,35,,B>A(XBRL누락?)
352820,하이브,0.909,1.086,16,,B>A(XBRL누락?)
051900,LG생활건강,0.219,0.056,74,,A>B(fnltt축약?)
121600,나노신소재,0.002,0.164,99,,B>A(XBRL누락?)
004370,농심,0.052,0.177,71,,B>A(XBRL누락?)
100090,SK오션플랜트,0.107,0.216,50,,B>A(XBRL누락?)
357780,솔브레인,0.207,0.117,43,,A>B(fnltt축약?)
012330,현대모비스,3.588,3.668,2,,합의
006400,삼성SDI,10.831,10.884,0,,합의
003230,삼양식품,0.553,0.503,9,,합의
000990,DB하이텍,0.382,0.356,7,,합의
090430,아모레퍼시픽,0.371,0.350,6,,합의
028050,삼성E&A,0.020,,,,A만
095340,ISC,0.001,0.021,94,,B>A(XBRL누락?)
098460,고영,0.017,,,,A만
009420,한올바이오파마,0.016,0.032,49,,B>A(XBRL누락?)
020000,한섬,0.084,0.070,17,,A>B(fnltt축약?)
056190,에스에프에이,0.255,0.259,1,,합의
069260,티케이지휴켐스,0.065,0.061,6,0.021,합의
196170,알테오젠,0.052,0.055,5,0.048,합의
006110,삼아알미늄,0.197,0.195,1,,합의
014620,성광벤드,0.000,0.002,81,,B>A(XBRL누락?)
064350,현대로템,0.131,0.132,1,,합의
281820,케이씨텍,0.003,0.002,39,,A>B(fnltt축약?)
214370,케어젠,0.001,,,,A만
023160,태광,0.004,0.003,21,,A>B(fnltt축약?)
083450,GST,0.014,0.014,1,,합의
215200,메가스터디교육,0.075,0.075,0,,합의
000720,현대건설,3.957,3.957,0,,합의
001200,유진투자증권,,,,,둘다0
005380,현대자동차,176.515,176.515,0,,합의
007310,오뚜기,0.861,0.861,0,,합의
007340,DN오토모티브,2.056,2.056,0,,합의
009150,삼성전기,2.277,2.277,0,,합의
009520,포스코엠텍,,,,,둘다0
042700,한미반도체,0.003,0.003,0,,합의
058470,리노공업,0.000,0.000,0,,합의
058860,KTis,0.108,0.108,0,,합의
090360,로보스타,0.000,0.000,0,,합의
104830,원익머트리얼즈,0.079,0.079,0,,합의
271560,오리온,0.036,0.036,0,,합의
278470,에이피알,0.101,0.101,0,,합의
353200,대덕전자,0.041,0.041,0,,합의
402340,SK스퀘어,0.113,0.113,0,,합의
