종목코드,회사명,연도,연결구분,fnltt_IBD(조),태그_IBD(조),편차%,신뢰도,RCPS,구성내역(계정:조)
000080,하이트진로,2025,CFS,1.051,1.503,43,low,,차입금(유동):0.640; 리스부채(유동):0.018; 차입금(비유동):0.316; 리스부채(비유동):0.076
000100,유한양행,2024,CFS,0.302,0.118,61,low,Y,전환상환우선주부채:0.002; 단기차입금:0.168; 유동성장기부채:0.011; 신주인수권부사채:0.016; 장기차입금:0.105
000150,두산,2025,CFS,10.126,9.753,4,high,,유동성장기차입금:0.775; 유동성사채:0.799; 유동리스부채:0.178; 유동성장기유동화채무:0.019; 단기차입금:3.986; 비유동리스부채:0.660; 사채:0.643; 장기차입금:3.006; 장기유동화채무:0.060
000250,삼천당제약,2024,CFS,0.050,0.033,34,low,,유동리스부채:0.002; 비유동차입금의유동성대체부분:0.016; 유동차입금:0.012; 장기차입금:0.017; 비유동리스부채:0.003
000270,기아,2025,CFS,2.344,3.708,58,low,,유동성장기부채:1.154; 단기차입금:0.211; 사채:0.979
000660,SK하이닉스,2025,CFS,24.758,27.802,12,medium,,차입금:8.162; 리스부채:0.547; 차입금:14.086; 리스부채:1.963
000670,영풍,2024,CFS,0.612,0.241,61,low,,유동차입금:0.374; 비유동차입금:0.239
000720,현대건설,2025,CFS,3.957,3.957,0,high,,유동리스부채:0.085; 유동성장기부채:0.929; 단기차입금:1.195; 리스부채:0.021; 비유동성사채:1.147; 장기차입금:0.580
000880,한화,2025,CFS,60.169,38.269,36,low,,차입금및사채:36.745; 차입금및사채:23.423
000990,DB하이텍,2025,CFS,0.356,0.382,7,high,,유동성장기차입금:0.022; 단기차입금:0.232; 장기차입금:0.103
002350,넥센타이어,2024,CFS,1.682,2.650,58,low,,유동리스부채:0.012; 유동차입금:0.789; 차입금:0.870; 비유동리스부채:0.011
003070,코오롱글로벌,2025,CFS,0.928,1.057,14,medium,,유동차입금(사채포함):0.696; 장기차입금및사채:0.232
003160,디아이,2024,CFS,0.091,0.069,24,medium,,유동성리스부채:0.001; 유동성장기부채:0.018; 단기차입금:0.034; 사채:0.015; 장기차입금:0.022; 장기리스부채:0.000
003230,삼양식품,2025,CFS,0.503,0.553,10,high,,유동성리스부채:0.020; 유동성장기부채:0.050; 단기차입금:0.092; 장기차입금:0.297; 비유동리스부채:0.043
003620,KG모빌리티,2024,CFS,0.332,0.123,63,low,,유동성신주인수권부사채:0.127; 유동성전환사채:0.054; 유동성리스부채:0.004; 단기차입금:0.140; 리스부채:0.007
004000,롯데정밀화학,2025,CFS,0.001,0.268,31647,low,,단기차입금:0.001
004020,현대제철,2025,CFS,9.908,7.189,27,medium,,유동성장기차입금:1.060; 유동성사채:1.170; 리스부채:0.088; 단기차입금:1.216; 리스부채:0.557; 사채:2.574; 장기차입금:3.242
004170,신세계,2024,CFS,5.094,8.828,73,low,,단기차입금:2.147; 리스부채:0.080; 장기차입금:2.213; 리스부채:0.654
004370,농심,2025,CFS,0.177,0.052,71,low,,교환사채:0.112; 리스부채:0.010; 단기차입금:0.028; 장기차입금:0.014; 리스부채:0.013
004800,효성,2024,CFS,0.835,0.535,36,low,,단기차입금및유동성장기차입금:0.780; 장기차입금:0.055
005290,동진쎄미켐,2024,CFS,0.792,0.792,0,high,,단기차입금:0.523; 단기리스부채:0.009; 장기차입금:0.247; 장기리스부채:0.012
005380,현대자동차,2025,CFS,176.515,176.515,0,high,,리스부채:0.353; 유동성장기부채:33.761; 단기차입금:10.388; 리스부채:0.772; 사채:106.900; 장기차입금:24.340
005930,삼성전자,2025,CFS,25.239,7.678,70,low,,단기차입금:17.575; 유동성장기부채:1.178; 사채:0.007; 장기차입금:6.480
006110,삼아알미늄,2025,CFS,0.195,0.197,1,high,,단기차입금및유동성장기차입금:0.084; 전환사채의부채요소:0.009; 장기차입금(사채포함):0.102
006260,LS,2025,CFS,10.141,4.407,57,low,,유동성장기차입금및유동성사채:1.391; 단기차입금:5.805; 유동성리스부채:0.053; 장기차입금및사채:2.796; 리스부채:0.096
006360,GS건설,2025,,,5.761,,medium,,
006400,삼성SDI,2025,CFS,10.884,10.831,0,high,,단기차입금:5.391; 장기차입금:5.493
006650,대한유화,2024,CFS,0.198,0.136,31,low,,차입금:0.088; 유동리스부채:0.022; 차입금:0.085; 리스부채:0.003
007070,GS리테일,2025,CFS,2.610,2.588,1,high,,차입금및사채:0.321; 유동성리스부채:0.477; 장기차입금및사채:0.299; 비유동리스부채:1.513
007310,오뚜기,2025,CFS,0.861,0.861,0,high,,유동성리스부채:0.023; 유동성장기차입금:0.094; 단기차입금:0.509; 장기차입금:0.186; 리스부채:0.049
007340,DN오토모티브,2025,CFS,2.056,2.056,0,high,,단기차입금:0.642; 유동리스부채:0.005; 유동성장기부채:1.242; 비유동리스부채:0.011; 장기차입금:0.156
009150,삼성전기,2025,CFS,2.277,2.277,0,high,,유동성리스부채:0.025; 단기차입금:2.003; 장기차입금:0.188; 장기리스부채:0.061
009420,한올바이오파마,2025,CFS,0.032,0.016,49,low,,단기차입금:0.016; 리스부채:0.001; 장기차입금:0.015; 리스부채:0.001
009520,포스코엠텍,2025,,,0.000,,medium,,
009540,HD한국조선해양,2024,CFS,0.483,1.143,137,low,,유동리스부채:0.031; 비유동리스부채:0.453
009830,한화솔루션,2025,CFS,14.977,10.343,31,low,,차입금:7.125; 장기차입금:7.852
010130,고려아연,2025,CFS,5.805,7.475,29,medium,,유동성사채:0.007; 유동차입금및비유동차입금(사채포함)의유동성대체부분:0.081; 단기차입금:3.047; 장기차입금:1.073; 사채:1.596
010140,삼성중공업,2025,CFS,2.307,2.681,16,medium,,유동리스부채:0.064; 유동장기부채:0.277; 단기차입금:1.454; 비유동리스부채:0.195; 사채:0.299; 장기차입금:0.017
011070,LG이노텍,2025,CFS,2.282,2.811,23,medium,,차입금:0.722; 리스부채:0.011; 차입금:1.540; 리스부채:0.009
011170,롯데케미칼,2025,CFS,9.614,10.249,7,high,,유동성리스부채:0.054; 차입금및사채:4.442; 차입금및사채:4.957; 리스부채:0.161
011210,현대위아,2024,CFS,1.243,1.243,0,high,,유동리스부채:0.001; 유동성장기부채:0.614; 단기차입금:0.153; 비유동리스부채:0.001; 사채:0.050; 장기차입금:0.423
011780,금호석유화학,2025,CFS,1.008,0.575,43,low,,차입금:0.433; 리스부채:0.009; 차입금:0.447; 리스부채:0.119
011790,SKC,2024,CFS,3.584,3.094,14,medium,,유동성사채:0.125; 교환사채:0.020; 유동성장기차입금:0.345; 리스부채:0.022; 단기차입금:1.151; 리스부채:0.014; 사채:0.149; 장기차입금:1.758
012330,현대모비스,2025,CFS,3.668,3.588,2,high,,유동차입금및비유동차입금(사채포함)의유동성대체부분합계:1.127; 유동성리스부채:0.180; 비유동차입금(사채포함)의비유동성부분:1.819; 비유동성리스부채:0.543
012450,한화에어로스페이스,2025,CFS,12.825,18.203,42,low,,리스부채:0.083; 차입금및사채:6.982; 차입금및사채:5.413; 리스부채:0.347
012510,더존비즈온,2025,CFS,0.297,0.547,84,low,,유동성리스부채:0.005; 유동성장기차입금:0.250; 단기차입금:0.038; 비유동리스부채:0.004
014620,성광벤드,2025,CFS,0.002,0.000,81,low,,단기차입금:0.002
014680,한솔케미칼,2024,CFS,0.261,0.322,23,low,Y,유동성장기부채:0.086; 단기차입금:0.069; 전환상환우선주부채:0.000; 사채:0.070; 장기차입금:0.036
016380,KG스틸,2024,CFS,0.978,0.978,0,high,,유동성사채:0.121; 리스부채:0.004; 유동성장기차입금:0.550; 단기차입금:0.244; 리스부채:0.009; 장기차입금:0.050
017670,SK텔레콤,2025,CFS,10.373,18.457,78,low,,단기차입금:0.130; 리스부채:0.408; 유동성사채및장기차입금:1.123; 장기리스부채:1.118; 사채:7.294; 장기차입금:0.300
017800,현대엘리베이터,2025,CFS,0.939,0.753,20,medium,,차입금및사채:0.561; 차입금및사채:0.378
018880,한온시스템,2025,CFS,3.860,3.506,9,high,,유동사채및비유동사채의유동성대체부분:0.685; 유동리스부채:0.071; 유동금융기관차입금및비유동금융기관차입금(사채제외)의유동성대체부분:1.008; 비유동리스부채:0.551; 비유동사채의비유동성부분:0.654; 비유동금융기관차입금(사채제외)의비유동성대체부분:0.891
020000,한섬,2025,CFS,0.070,0.084,21,medium,,유동리스부채:0.013; 유동차입금(사채포함):0.025; 비유동리스부채:0.032
020150,롯데에너지머티리얼즈,2024,CFS,0.125,0.299,139,low,,유동성장기부채:0.000; 단기차입금:0.018; 장기차입금:0.107
021240,코웨이,2025,CFS,2.174,1.018,53,low,,유동성장기차입금:0.095; 단기차입금:0.910; 유동성사채:0.150; 리스부채:0.043; 리스부채:0.070; 사채:0.879; 장기차입금:0.026
021320,KCC건설,2025,OFS,0.793,0.000,,medium,,유동성사채:0.198; 유동성사채:0.199; 유동성장기차입금:0.007; 리스부채:0.002; 단기차입금:0.129; 리스부채:0.001; 사채:0.100; 사채:0.100; 사채할인발행차금:0.000; 장기차입금:0.056
023160,태광,2025,CFS,0.003,0.004,26,medium,,유동리스부채:0.001; 비유동리스부채:0.002
023530,롯데쇼핑,2024,CFS,14.765,23.013,56,low,,차입금및사채:4.413; 리스부채:0.751; 차입금및사채:6.007; 리스부채:3.594
027360,아주IB투자,2024,CFS,0.024,0.000,,medium,,금융기관차입금(사채제외):0.024
028050,삼성E&A,2025,,,0.020,,medium,,
029780,삼성카드,2024,CFS,18.447,15.619,15,medium,,사채:15.619; 리스부채:0.028; 차입금:2.800
030200,케이티,2025,CFS,10.786,25.473,136,low,,차입금:2.500; 차입금:8.286
032640,LG유플러스,2025,CFS,5.870,15.083,157,low,,유동사채및장기차입금:1.402; 사채및장기차입금:4.468
033640,네패스,2024,CFS,0.411,0.170,58,low,,유동성사채:0.040; 유동성전환사채:0.036; 유동리스부채:0.001; 유동성장기차입금:0.059; 단기차입금:0.107; 사채:0.047; 장기차입금:0.117; 비유동리스부채:0.004
034020,두산에너빌리티,2024,CFS,6.372,6.286,1,high,,판매후리스부채:0.018; 유동리스부채:0.103; 유동성장기부채:0.398; 단기차입금:2.141; 비유동판매후리스부채:0.048; 비유동리스부채:0.302; 사채:0.907; 장기차입금:2.435; 장기유동화채무:0.019
034220,LG디스플레이,2025,,,1.518,,medium,,
035420,NAVER,2025,CFS,4.173,4.584,10,high,,유동성사채:1.597; 리스부채:0.233; 단기차입금:0.132; 리스부채:0.955; 사채:0.382; 장기차입금:0.874
035720,카카오,2025,CFS,4.026,2.882,28,medium,,단기차입금:1.144; 단기리스부채:0.331; 장기차입금:0.991; 장기리스부채:1.560
036540,SFA반도체,2024,CFS,0.095,0.095,0,high,,유동리스부채:0.001; 유동성장기차입금:0.062; 비유동리스부채:0.033
036570,NC,2025,CFS,0.357,0.527,48,low,,유동리스부채:0.049; 유동성사채및차입금:0.130; 비유동리스부채:0.138; 사채:0.040
042660,한화오션,2025,CFS,5.777,3.111,46,low,,차입금및사채:3.300; 유동성리스부채:0.037; 장기차입금및사채:2.346; 리스부채:0.093
042700,한미반도체,2025,CFS,0.003,0.003,0,high,,유동리스부채:0.001; 비유동리스부채:0.001
043260,성호전자,2024,CFS,0.172,0.113,34,low,Y,"유동성신주인수권부사채:0.009; 유동성사채:0.001; 유동성전환사채:0.000; 비유동차입금(사채포함)의유동성대체부분:0.003; 유동차입금(사채포함):0.110; 사채:0.005; 전환상환우선주부채,총액:0.011; 장기차입금(사채포함),총액:0.032"
047040,대우건설,2025,CFS,4.084,4.737,16,medium,,단기리스부채:0.076; 유동성장기차입금및사채:0.586; 단기차입금및사채:0.366; 장기차입금및사채:2.779; 장기리스부채:0.278
047810,한국항공우주,2025,CFS,2.147,3.020,41,low,,유동성사채:0.300; 단기차입금:0.493; 유동성장기차입금:0.024; 사채:1.266; 장기차입금:0.064
051900,LG생활건강,2025,CFS,0.056,0.219,292,low,,단기차입금:0.056
051910,LG화학,2025,CFS,33.812,44.484,32,low,,차입금:11.738; 차입금:22.074
053610,프로텍,2024,CFS,0.025,0.021,19,medium,,유동리스부채:0.000; 유동성장기차입금:0.007; 단기차입금:0.013; 장기차입금:0.005; 비유동리스부채:0.000
056190,에스에프에이,2025,CFS,0.259,0.255,1,high,,차입금(유동):0.131; 리스부채(유동):0.001; 차입금(비유동):0.095; 리스부채(비유동):0.032
058470,리노공업,2025,OFS,0.000,0.000,0,high,,리스부채:0.000; 리스부채:0.000
058860,KTis,2025,OFS,0.108,0.108,0,high,,유동리스부채:0.019; 비유동리스부채:0.089
061970,LB세미콘,2025,CFS,0.333,0.336,1,high,,유동성전환사채:0.012; 유동성장기차입금:0.093; 단기차입금:0.134; 비유동차입금(사채포함)의비유동성부분:0.094
064350,현대로템,2025,CFS,0.132,0.131,1,high,,리스부채:0.007; 단기차입금:0.049; 리스부채:0.016; 사채:0.050; 장기차입금:0.011
064960,SNT모티브,2024,,,0.000,,medium,,
066570,LG전자,2025,CFS,13.960,17.296,24,medium,,차입금:2.464; 리스부채:0.422; 차입금:10.180; 리스부채:0.894
066970,엘앤에프,2024,CFS,1.759,1.396,21,medium,,"유동성교환사채:0.388; 유동성장기차입금:0.056; 단기차입금,원화환산금액:0.813; 장기차입금:0.502"
067310,하나마이크론,2024,CFS,1.146,0.942,18,medium,,리스부채:0.003; 유동성장기차입금:0.204; 단기차입금:0.248; 리스부채:0.001; 사채:0.139; 비유동장기차입금:0.552
068270,셀트리온,2025,,,3.729,,medium,,
069260,티케이지휴켐스,2025,CFS,0.061,0.044,28,low,Y,상환전환우선주부채:0.021; 단기차입금:0.035; 장기차입금:0.005
069960,현대백화점,2024,CFS,2.434,1.621,33,low,,유동성사채:0.510; 유동성장기차입금:0.047; 유동리스부채:0.116; 단기차입금:0.559; 사채:0.519; 장기차입금:0.211; 비유동리스부채:0.473
071970,HD현대마린엔진,2024,,,0.000,,medium,,
074600,원익QnC,2024,CFS,0.775,0.775,0,high,,유동성리스부채:0.003; 유동성장기차입금:0.023; 단기차입금:0.223; 장기차입금:0.511; 리스부채:0.015
