stock_code,JSONL_보유
000010,❌
000100,✅
000250,✅
000270,✅
000540,✅
000650,✅
000680,✅
000760,✅
000800,❌
000860,✅
000950,✅
001000,✅
001120,✅
001140,❌
001210,✅
001230,✅
001360,✅
001470,✅
001490,❌
001520,✅
0015N0,✅
001770,✅
001780,✅
001820,✅
001840,✅
002150,✅
002220,✅
002230,✅
002320,✅
002350,✅
002390,✅
002450,✅
002460,✅
002670,❌
002690,✅
002760,✅
002800,✅
002990,✅
003050,❌
003080,✅
003100,✅
003450,❌
003460,✅
003530,✅
003560,❌
003680,✅
0037T0,✅
003960,✅
004140,✅
0041J0,❌
0041L0,✅
004410,✅
004770,✅
004780,✅
004840,✅
004920,✅
004940,❌
004980,✅
005110,✅
005160,✅
005180,✅
005270,❌
005280,❌
005300,✅
0054V0,❌
005500,✅
005610,✅
005670,✅
005750,✅
005960,✅
006380,✅
006570,✅
006580,❌
0068Y0,✅
006910,✅
0070X0,❌
007210,✅
007280,✅
007540,✅
007590,✅
007700,✅
007820,✅
008290,✅
008340,❌
008470,✅
008670,❌
009270,✅
009320,✅
009410,✅
0097F0,✅
0099X0,✅
010120,✅
010170,✅
010580,✅
010640,✅
010770,✅
011150,✅
011160,❌
011210,✅
011320,✅
011400,❌
011500,✅
0115H0,✅
011780,✅
011930,✅
012030,✅
012210,✅
012320,✅
012330,✅
012580,❌
012630,✅
012750,✅
012790,✅
013340,❌
014200,❌
015200,❌
015890,✅
016100,✅
016250,✅
016790,✅
016880,✅
017040,✅
017480,✅
017510,✅
018680,✅
019180,✅
019660,✅
020710,✅
021320,✅
025000,✅
025340,❌
025560,✅
025620,✅
025870,✅
026220,❌
026970,❌
027410,✅
027710,✅
028050,✅
030530,✅
030610,✅
031860,✅
032280,✅
032640,✅
032710,❌
032820,✅
032960,✅
032980,✅
033160,✅
033230,✅
033270,✅
033500,✅
033550,❌
033630,❌
033660,❌
033790,✅
034940,✅
035420,✅
035430,❌
035510,✅
035610,✅
035620,✅
036030,✅
036540,✅
036560,✅
036800,✅
036810,✅
037030,✅
037640,❌
038340,❌
038390,✅
038530,✅
038540,✅
038870,✅
039290,✅
039310,✅
039440,✅
039490,✅
039570,✅
039830,✅
041440,✅
042370,✅
042510,✅
043090,✅
043100,✅
043260,✅
043590,✅
044380,✅
044990,✅
046890,✅
046940,✅
048870,✅
049180,✅
049520,✅
050090,✅
051310,❌
051360,✅
051910,✅
052220,✅
052710,✅
052900,✅
053270,✅
053350,✅
053980,✅
054410,✅
054670,✅
054940,✅
058110,✅
058480,❌
059100,✅
059270,✅
060380,✅
060910,❌
061970,✅
062860,❌
064480,✅
065150,✅
065420,✅
065500,✅
065510,✅
065620,❌
065650,✅
065710,✅
066830,❌
067250,❌
067370,✅
067390,✅
068050,✅
068290,✅
068330,✅
068400,❌
068760,✅
069080,✅
070080,❌
070480,❌
070590,✅
070960,✅
071320,✅
071460,❌
071670,✅
071840,✅
072130,✅
073070,❌
073560,✅
075580,✅
078000,✅
078160,✅
078340,✅
078520,✅
078600,✅
079160,✅
079430,✅
079810,✅
079940,✅
080010,✅
080470,✅
081000,✅
083470,✅
084990,✅
086520,✅
086820,✅
086980,✅
087010,✅
088800,✅
089790,✅
089970,✅
090120,❌
090740,❌
091120,✅
092070,✅
092460,✅
093640,✅
094860,✅
095340,✅
095660,✅
096350,✅
097520,✅
097800,✅
097950,✅
098460,✅
099520,✅
100120,✅
100220,✅
100700,✅
101730,✅
102120,✅
104700,✅
107590,✅
108490,✅
109670,✅
111710,✅
111820,❌
111870,❌
112190,❌
112610,✅
114190,✅
115310,✅
115530,✅
116100,❌
117670,✅
117730,✅
119610,✅
121890,✅
122640,✅
122830,❌
123010,✅
123040,✅
123570,✅
125210,✅
126640,✅
128660,✅
128940,✅
129890,✅
130740,✅
131100,✅
131180,✅
134780,❌
134790,✅
135160,❌
136480,✅
136510,❌
136660,❌
137940,✅
140520,✅
140660,❌
140670,✅
141080,✅
143160,✅
145270,✅
148140,❌
148250,✅
149300,❌
153490,✅
153710,✅
155960,❌
159580,✅
159910,✅
161890,✅
163730,✅
166090,✅
170920,✅
171010,✅
177830,✅
178920,✅
179530,✅
182360,✅
183350,❌
187270,✅
187870,✅
188040,✅
189350,❌
190510,✅
191600,❌
192520,❌
192530,❌
194510,❌
196450,✅
199150,❌
199820,✅
202960,❌
203690,✅
204020,✅
204210,✅
204630,❌
206400,✅
206950,❌
208640,✅
208890,❌
209640,✅
210540,✅
212310,❌
214260,✅
214450,✅
215000,✅
216400,❌
217270,✅
217880,❌
222670,❌
224060,✅
224110,✅
224810,❌
225430,✅
225530,✅
226330,✅
226360,❌
226440,❌
228670,✅
229000,✅
229500,❌
230240,✅
232530,❌
233250,❌
234300,✅
237750,✅
238120,✅
240810,✅
241770,✅
242040,✅
243870,❌
244880,❌
245620,✅
246710,✅
247660,✅
252990,✅
254160,❌
258050,❌
258790,✅
260870,❌
260970,✅
261780,✅
262260,✅
263050,✅
263750,✅
263810,✅
264660,✅
266470,❌
267270,✅
267290,✅
267320,✅
270210,❌
270520,✅
273640,✅
277810,✅
277880,✅
281740,✅
284620,✅
288330,✅
289010,✅
290550,✅
290670,✅
291230,✅
294870,✅
296160,❌
297090,✅
298380,✅
299170,✅
299480,❌
302440,✅
302920,❌
306200,✅
306620,✅
307870,✅
308100,✅
311390,✅
311960,❌
316140,✅
317400,✅
317530,✅
317850,✅
319400,✅
322510,✅
323350,✅
326030,✅
330350,✅
333430,✅
333620,✅
335870,✅
335890,❌
336040,❌
336060,✅
339770,✅
340440,✅
341170,❌
348080,✅
348350,✅
351020,❌
352770,✅
352910,✅
353810,✅
354390,❌
355150,✅
355390,✅
357580,✅
361670,✅
363260,✅
365330,✅
372320,✅
373170,✅
376290,✅
376930,✅
377300,✅
382900,✅
383220,✅
383800,✅
384470,✅
389020,✅
389030,✅
391710,✅
396300,✅
398120,✅
402420,❌
419080,✅
425420,✅
440320,✅
443060,✅
444530,✅
444920,❌
446150,❌
448780,❌
450140,❌
452980,✅
455250,❌
455910,❌
456570,❌
457940,❌
458610,❌
460860,✅
460940,✅
461030,✅
466410,✅
468530,✅
473000,✅
474170,✅
474660,✅
475150,✅
475240,✅
475250,✅
475460,✅
475580,✅
476830,✅
478110,✅
478440,✅
478560,✅
482680,✅
482690,✅
487360,✅
489480,✅
489500,✅
491000,✅
