stock_code,연도수,유형수,범위수,총행수,완전성점수
0044K0,1,2,1,24,48.8
0041B0,1,2,1,27,49.2
0099W0,1,2,1,28,49.3
0071M0,1,2,1,29,49.5
0088D0,1,2,1,29,49.5
0132G0,1,2,1,29,49.5
0072Z0,1,2,1,31,49.7
0093G0,1,2,1,31,49.7
0096B0,1,2,1,31,49.7
0105P0,1,2,1,31,49.7
0101C0,1,2,1,32,49.8
0096D0,1,2,1,35,50.2
0091W0,1,2,1,37,50.5
448730,1,2,1,39,50.7
417310,1,2,1,41,51.0
0120G0,1,2,1,50,52.1
479880,2,2,1,50,60.4
477470,2,2,1,57,61.3
484130,2,2,1,60,61.7
478390,2,2,1,62,61.9
481890,2,2,1,62,61.9
482520,2,2,1,62,61.9
486630,2,2,1,62,61.9
492220,2,2,1,62,61.9
498390,2,2,1,62,61.9
487830,2,2,1,65,62.3
489210,2,2,1,66,62.4
489730,2,2,1,66,62.4
493790,2,2,1,66,62.4
496070,2,2,1,66,62.4
477380,2,2,1,67,62.5
477760,2,2,1,68,62.7
0004Y0,2,2,1,69,62.8
357250,2,2,1,73,63.3
477340,2,2,1,74,63.4
487720,2,2,1,74,63.4
488060,2,2,1,76,63.7
330590,2,2,1,78,63.9
338100,2,2,1,90,65.4
357120,2,2,1,96,66.2
451800,2,2,1,110,67.9
004310,2,2,1,124,69.7
395400,1,2,2,92,69.8
086790,3,1,1,165,70.6
474930,3,2,1,77,72.1
452670,3,2,1,79,72.4
472230,3,2,1,80,72.5
473950,3,2,1,81,72.6
464440,3,2,1,85,73.1
456490,3,2,1,87,73.4
469880,3,2,1,87,73.4
471050,3,2,1,91,73.9
469900,3,2,1,93,74.1
451700,3,2,1,96,74.5
457630,3,2,1,96,74.5
466910,3,2,1,96,74.5
468760,3,2,1,96,74.5
466690,3,2,1,98,74.8
455310,3,2,1,99,74.9
464680,3,2,1,99,74.9
467930,3,2,1,99,74.9
473050,3,2,1,101,75.1
465320,3,2,1,102,75.2
440290,3,2,1,104,75.5
450050,3,2,1,104,75.5
462020,3,2,1,105,75.6
469480,3,2,1,111,76.4
472220,3,2,1,111,76.4
474490,3,2,1,114,76.8
450940,3,2,1,117,77.1
049130,3,2,1,128,78.5
131090,3,2,1,129,78.6
219130,3,2,1,130,78.8
033100,3,2,1,131,78.9
0007J0,3,2,1,132,79.0
048470,3,2,1,133,79.1
256150,3,2,1,133,79.1
418250,3,2,1,133,79.1
290560,3,2,1,134,79.2
303030,3,2,1,134,79.2
446540,3,2,1,134,79.2
452430,3,2,1,134,79.2
006140,3,2,1,135,79.4
0082N0,3,2,1,135,79.4
257370,3,2,1,135,79.4
457550,3,2,1,135,79.4
333050,3,2,1,136,79.5
493280,3,2,1,136,79.5
263770,3,2,1,137,79.6
002290,3,2,1,138,79.8
002960,3,2,1,138,79.8
021080,3,2,1,138,79.8
023910,3,2,1,138,79.8
039790,3,2,1,138,79.8
147830,3,2,1,138,79.8
356680,3,2,1,138,79.8
397030,3,2,1,138,79.8
459510,3,2,1,138,79.8
476060,3,2,1,138,79.8
149950,3,2,1,140,80.0
195500,3,2,1,140,80.0
086220,3,2,1,141,80.1
096640,3,2,1,141,80.1
287840,3,2,1,141,80.1
415380,3,2,1,141,80.1
035290,3,2,1,142,80.2
217950,3,2,1,142,80.2
210120,3,2,1,143,80.4
096870,3,2,1,144,80.5
110020,3,2,1,144,80.5
251120,3,2,1,144,80.5
418470,3,2,1,144,80.5
419540,3,2,1,144,80.5
460470,3,2,1,144,80.5
950160,3,2,1,144,80.5
025890,3,2,1,145,80.6
174900,3,2,1,145,80.6
252500,3,2,1,145,80.6
267080,3,2,1,145,80.6
365270,3,2,1,145,80.6
370090,3,2,1,145,80.6
389500,3,2,1,145,80.6
446840,3,2,1,145,80.6
065570,3,2,1,146,80.8
079000,3,2,1,146,80.8
140910,3,2,1,146,80.8
432720,3,2,1,146,80.8
015020,3,2,1,147,80.9
017680,3,2,1,147,80.9
026940,3,2,1,147,80.9
079170,3,2,1,147,80.9
106190,3,2,1,147,80.9
134060,3,2,1,147,80.9
153460,3,2,1,147,80.9
244460,3,2,1,147,80.9
457370,3,2,1,147,80.9
475660,3,2,1,147,80.9
189860,3,2,1,148,81.0
065660,3,2,1,149,81.1
115610,3,2,1,149,81.1
246250,3,2,1,149,81.1
001550,3,2,1,150,81.2
067830,3,2,1,150,81.2
073570,3,2,1,150,81.2
101680,3,2,1,150,81.2
228340,3,2,1,150,81.2
246720,3,2,1,150,81.2
299660,3,2,1,150,81.2
303360,3,2,1,150,81.2
323990,3,2,1,150,81.2
330730,3,2,1,150,81.2
417790,3,2,1,150,81.2
005690,3,2,1,151,81.4
044490,3,2,1,151,81.4
109080,3,2,1,151,81.4
308430,3,2,1,151,81.4
388790,3,2,1,151,81.4
432980,3,2,1,152,81.5
009520,3,2,1,153,81.6
011420,3,2,1,153,81.6
024830,3,2,1,153,81.6
058470,3,2,1,153,81.6
062970,3,2,1,153,81.6
123860,3,2,1,153,81.6
274400,3,2,1,153,81.6
279600,3,2,1,153,81.6
291810,3,2,1,153,81.6
383930,3,2,1,153,81.6
463020,3,2,1,153,81.6
482630,3,2,1,153,81.6
900340,3,2,1,153,81.6
199730,3,2,1,154,81.8
263800,3,2,1,154,81.8
0010F0,3,2,1,155,81.9
081970,3,2,1,155,81.9
094850,3,2,1,155,81.9
101140,3,2,1,155,81.9
125020,3,2,1,155,81.9
315640,3,2,1,155,81.9
389680,3,2,1,155,81.9
424870,3,2,1,155,81.9
0088M0,3,2,1,156,82.0
023770,3,2,1,156,82.0
036670,3,2,1,156,82.0
037070,3,2,1,156,82.0
064760,3,2,1,156,82.0
099410,3,2,1,156,82.0
196300,3,2,1,156,82.0
308080,3,2,1,156,82.0
314140,3,2,1,156,82.0
344860,3,2,1,156,82.0
358570,3,2,1,156,82.0
429270,3,2,1,156,82.0
448710,3,2,1,156,82.0
452300,3,2,1,156,82.0
484810,3,2,1,156,82.0
078590,3,2,1,157,82.1
365590,3,2,1,157,82.1
013000,3,2,1,158,82.2
039240,3,2,1,158,82.2
294630,3,2,1,158,82.2
002700,3,2,1,159,82.4
005870,3,2,1,159,82.4
012690,3,2,1,159,82.4
036620,3,2,1,159,82.4
049830,3,2,1,159,82.4
114450,3,2,1,159,82.4
188260,3,2,1,159,82.4
222110,3,2,1,159,82.4
250030,3,2,1,159,82.4
307930,3,2,1,159,82.4
381970,3,2,1,159,82.4
403870,3,2,1,159,82.4
452280,3,2,1,159,82.4
455900,3,2,1,159,82.4
479960,3,2,1,159,82.4
488900,3,2,1,159,82.4
163280,3,2,1,160,82.5
004700,3,2,1,161,82.6
025950,3,2,1,161,82.6
026040,3,2,1,161,82.6
009770,3,2,1,162,82.8
014570,3,2,1,162,82.8
031990,3,2,1,162,82.8
054930,3,2,1,162,82.8
081180,3,2,1,162,82.8
107600,3,2,1,162,82.8
115500,3,2,1,162,82.8
177900,3,2,1,162,82.8
200470,3,2,1,162,82.8
264900,3,2,1,162,82.8
265740,3,2,1,162,82.8
279570,3,2,1,162,82.8
