stock_code,statement_type,누락_키워드_예시
000400,BS,"자산총계, 자산 총계, 유동자산"
000400,IS,"매출액, 영업수익, 수익(매출액)"
0004Y0,BS,"자산총계, 자산 총계, 유동자산"
0004Y0,IS,"매출액, 영업수익, 수익(매출액)"
0007J0,BS,"자산총계, 자산 총계, 유동자산"
0007J0,IS,"매출액, 영업수익, 수익(매출액)"
000890,BS,"자산총계, 자산 총계, 유동자산"
000890,IS,"매출액, 영업수익, 수익(매출액)"
0010F0,BS,"자산총계, 자산 총계, 유동자산"
0010F0,IS,"매출액, 영업수익, 수익(매출액)"
001420,BS,"자산총계, 자산 총계, 유동자산"
001420,IS,"매출액, 영업수익, 수익(매출액)"
001550,BS,"자산총계, 자산 총계, 유동자산"
001550,IS,"매출액, 영업수익, 수익(매출액)"
001750,BS,"자산총계, 자산 총계, 유동자산"
001750,IS,"매출액, 영업수익, 수익(매출액)"
002210,BS,"자산총계, 자산 총계, 유동자산"
002210,IS,"매출액, 영업수익, 수익(매출액)"
002290,BS,"자산총계, 자산 총계, 유동자산"
002290,IS,"매출액, 영업수익, 수익(매출액)"
002420,BS,"자산총계, 자산 총계, 유동자산"
002420,IS,"매출액, 영업수익, 수익(매출액)"
002700,BS,"자산총계, 자산 총계, 유동자산"
002700,IS,"매출액, 영업수익, 수익(매출액)"
002780,BS,"자산총계, 자산 총계, 유동자산"
002780,IS,"매출액, 영업수익, 수익(매출액)"
002960,BS,"자산총계, 자산 총계, 유동자산"
002960,IS,"매출액, 영업수익, 수익(매출액)"
003010,BS,"자산총계, 자산 총계, 유동자산"
003010,IS,"매출액, 영업수익, 수익(매출액)"
003120,BS,"자산총계, 자산 총계, 유동자산"
003120,IS,"매출액, 영업수익, 수익(매출액)"
003350,BS,"자산총계, 자산 총계, 유동자산"
003350,IS,"매출액, 영업수익, 수익(매출액)"
003520,BS,"자산총계, 자산 총계, 유동자산"
003520,IS,"매출액, 영업수익, 수익(매출액)"
003650,BS,"자산총계, 자산 총계, 유동자산"
003650,IS,"매출액, 영업수익, 수익(매출액)"
003830,BS,"자산총계, 자산 총계, 유동자산"
003830,IS,"매출액, 영업수익, 수익(매출액)"
0041B0,BS,"자산총계, 자산 총계, 유동자산"
0041B0,IS,"매출액, 영업수익, 수익(매출액)"
004310,BS,"자산총계, 자산 총계, 유동자산"
004310,IS,"매출액, 영업수익, 수익(매출액)"
004440,BS,"자산총계, 자산 총계, 유동자산"
004440,IS,"매출액, 영업수익, 수익(매출액)"
0044K0,BS,"자산총계, 자산 총계, 유동자산"
0044K0,IS,"매출액, 영업수익, 수익(매출액)"
004700,BS,"자산총계, 자산 총계, 유동자산"
004700,IS,"매출액, 영업수익, 수익(매출액)"
004720,BS,"자산총계, 자산 총계, 유동자산"
004720,IS,"매출액, 영업수익, 수익(매출액)"
004870,BS,"자산총계, 자산 총계, 유동자산"
004870,IS,"매출액, 영업수익, 수익(매출액)"
005030,BS,"자산총계, 자산 총계, 유동자산"
005030,IS,"매출액, 영업수익, 수익(매출액)"
005070,BS,"자산총계, 자산 총계, 유동자산"
005070,IS,"매출액, 영업수익, 수익(매출액)"
005690,BS,"자산총계, 자산 총계, 유동자산"
005690,IS,"매출액, 영업수익, 수익(매출액)"
005870,BS,"자산총계, 자산 총계, 유동자산"
005870,IS,"매출액, 영업수익, 수익(매출액)"
006050,BS,"자산총계, 자산 총계, 유동자산"
006050,IS,"매출액, 영업수익, 수익(매출액)"
006090,BS,"자산총계, 자산 총계, 유동자산"
006090,IS,"매출액, 영업수익, 수익(매출액)"
006140,BS,"자산총계, 자산 총계, 유동자산"
006140,IS,"매출액, 영업수익, 수익(매출액)"
007110,BS,"자산총계, 자산 총계, 유동자산"
007110,IS,"매출액, 영업수익, 수익(매출액)"
007120,BS,"자산총계, 자산 총계, 유동자산"
007120,IS,"매출액, 영업수익, 수익(매출액)"
0071M0,BS,"자산총계, 자산 총계, 유동자산"
0071M0,IS,"매출액, 영업수익, 수익(매출액)"
0072Z0,BS,"자산총계, 자산 총계, 유동자산"
0072Z0,IS,"매출액, 영업수익, 수익(매출액)"
007330,BS,"자산총계, 자산 총계, 유동자산"
007330,IS,"매출액, 영업수익, 수익(매출액)"
007370,BS,"자산총계, 자산 총계, 유동자산"
007370,IS,"매출액, 영업수익, 수익(매출액)"
008040,BS,"자산총계, 자산 총계, 유동자산"
008040,IS,"매출액, 영업수익, 수익(매출액)"
008260,BS,"자산총계, 자산 총계, 유동자산"
008260,IS,"매출액, 영업수익, 수익(매출액)"
0082N0,BS,"자산총계, 자산 총계, 유동자산"
0082N0,IS,"매출액, 영업수익, 수익(매출액)"
008370,BS,"자산총계, 자산 총계, 유동자산"
008370,IS,"매출액, 영업수익, 수익(매출액)"
008420,BS,"자산총계, 자산 총계, 유동자산"
008420,IS,"매출액, 영업수익, 수익(매출액)"
008500,BS,"자산총계, 자산 총계, 유동자산"
008500,IS,"매출액, 영업수익, 수익(매출액)"
008800,BS,"자산총계, 자산 총계, 유동자산"
008800,IS,"매출액, 영업수익, 수익(매출액)"
008830,BS,"자산총계, 자산 총계, 유동자산"
008830,IS,"매출액, 영업수익, 수익(매출액)"
0088D0,BS,"자산총계, 자산 총계, 유동자산"
0088D0,IS,"매출액, 영업수익, 수익(매출액)"
0088M0,BS,"자산총계, 자산 총계, 유동자산"
0088M0,IS,"매출액, 영업수익, 수익(매출액)"
0091W0,BS,"자산총계, 자산 총계, 유동자산"
0091W0,IS,"매출액, 영업수익, 수익(매출액)"
0093G0,BS,"자산총계, 자산 총계, 유동자산"
0093G0,IS,"매출액, 영업수익, 수익(매출액)"
009460,BS,"자산총계, 자산 총계, 유동자산"
009460,IS,"매출액, 영업수익, 수익(매출액)"
009520,BS,"자산총계, 자산 총계, 유동자산"
009520,IS,"매출액, 영업수익, 수익(매출액)"
0096B0,BS,"자산총계, 자산 총계, 유동자산"
0096B0,IS,"매출액, 영업수익, 수익(매출액)"
0096D0,BS,"자산총계, 자산 총계, 유동자산"
0096D0,IS,"매출액, 영업수익, 수익(매출액)"
009730,BS,"자산총계, 자산 총계, 유동자산"
009730,IS,"매출액, 영업수익, 수익(매출액)"
009770,BS,"자산총계, 자산 총계, 유동자산"
