stock_code,fiscal_year,연결자산,별도자산,연결/별도비율
002880,2023,336026490235,373192360645,0.90
002880,2024,334711356299,374557380743,0.89
003000,2023,429017049398,460536039339,0.93
003920,2023,779727608033,848817621939,0.92
003920,2024,724193724088,793512158874,0.91
036120,2023,34889365255,36949565740,0.94
039860,2023,58578299761,62693710973,0.93
039860,2024,79006525914,84840685697,0.93
041960,2023,118597807079,127150147430,0.93
041960,2024,122766615861,132432079337,0.93
041960,2025,133915480942,148280878967,0.90
047400,2024,138270697101,147866805816,0.94
047400,2025,136395574481,148088029372,0.92
048410,2024,67704784931,73471188798,0.92
064520,2025,100320069500,105920061492,0.95
073010,2023,60397878939,75321583860,0.80
073640,2023,83759306836,96450785859,0.87
079190,2023,38738320514,48317852262,0.80
079190,2025,24322659443,27517809891,0.88
079970,2024,30298943930,32717951121,0.93
079970,2025,33680316080,35457614768,0.95
082270,2023,135153431377,143119519139,0.94
082270,2024,150746205875,161657092594,0.93
082800,2025,165480875379,177320360248,0.93
084370,2023,436989837327,462504441606,0.94
106080,2025,52267787586,58449179240,0.89
115450,2023,200794852747,215681768866,0.93
131760,2025,80563395827,87235704329,0.92
142760,2025,42606784656,52198916666,0.82
144510,2025,303690382971,335038974555,0.91
149980,2023,79097609391,83947453553,0.94
149980,2025,71242246309,77434925384,0.92
156100,2023,62762238107,74979363355,0.84
156100,2024,83061020207,99278687147,0.84
156100,2025,83482864772,104758182490,0.80
192410,2023,55879962018,59210774937,0.94
199430,2023,32622226151,34463087732,0.95
200230,2024,153588079745,172838689201,0.89
222040,2025,282958913247,300356006620,0.94
222160,2025,6213216901,8210294952,0.76
230980,2025,31281167927,34802491364,0.90
294090,2024,49026038767,53870134022,0.91
294090,2025,36375819048,41856920531,0.87
335810,2025,53074290379,56590174131,0.94
338220,2023,22556170574,25455802910,0.89
338220,2024,50182429726,55706857624,0.90
338220,2025,50389442104,56338085106,0.89
339950,2023,80093701315,90328442128,0.89
339950,2024,97940371844,109348836130,0.90
339950,2025,120830204275,133782998560,0.90
417200,2024,253147071884,268734344671,0.94
445680,2023,57797993647,65499571068,0.88
445680,2024,70560573877,79688299533,0.89
445680,2025,78027492351,90930309423,0.86
475400,2023,23854369592,25992616181,0.92
