stock_code,연도구간,YoY,전기값,당기값
226590,2023→2024,+390%,9850672827,48305247339
377030,2023→2024,+2005%,1765567201,37171526391
205500,2024→2025,+386%,7551040419,36722406111
232830,2023→2024,+544%,16219150218,104423115134
039200,2023→2024,+587%,4950929999,34007602680
066670,2024→2025,+1487%,11884203638,188618668917
464490,2023→2024,+820%,1011722941,9303610913
065770,2024→2025,+343%,444642773,1971039383
171090,2024→2025,+357%,112925047956,515761033577
123840,2024→2025,+360%,10474118116,48163918636
000300,2024→2025,+379%,1948482447,9336927285
293780,2023→2024,+938%,323868818,3360980197
472850,2023→2024,+13155%,2781338079,368653108555
036090,2023→2024,+915%,35232358333,357440585776
369370,2023→2024,+306%,8939744033,36265077360
027360,2023→2024,+1444%,210865400,3256533181
089470,2023→2024,+6026%,77162081,4726997785
348210,2024→2025,+7302%,131287325,9717895291
208860,2024→2025,+914%,11214636407,113733785377
045660,2023→2024,+1129%,3704107982,45526630657
085810,2024→2025,+836%,5680697566,53166158309
451760,2023→2024,+336%,15813851205,68983081678
021050,2023→2024,+427%,233179269197,1229526508990
402490,2024→2025,+452%,18498939484,102155379135
246960,2024→2025,+365%,4737116055,22010565275
348370,2023→2024,+558%,2349738000,15467688747
041520,2024→2025,+87815%,22355284,19653638201
