endpoint,성공/10,최소ms,평균ms,최대ms
/api/overview/090430,10,2070.9,2105.2,2198.8
/api/overview/009150,10,2079.4,2102.9,2138.6
/api/overview/035420,10,2082.6,2109.8,2135.4
/api/financial_detail/090430/BS?scope=%EC%97%B0%EA%B2%B0,10,2037.3,2071.2,2114.1
/api/financial_detail/009150/IS?scope=%EC%97%B0%EA%B2%B0,10,2047.3,2073.6,2097.1
/api/ohlcv/090430,10,2154.8,2228.8,2407.9
/api/health/090430,10,2033.1,2062.6,2080.7
/api/news/090430?limit=3,10,2298.9,2419.3,2811.6
/api/realtime/090430,10,2377.3,2498.2,2663.4
/api/shareholders/090430,10,2037.5,2056.1,2085.1
