code,status,inserted,review
000100,ok,218,11
000250,ok,92,27
000270,ok,84,9
000540,ok,58,26
000650,ok,195,16
000680,ok,345,18
000760,ok,436,16
000860,ok,85,11
000950,ok,45,3
001000,ok,199,4
001120,ok,148,23
001210,ok,569,44
001230,ok,127,29
001360,ok,246,35
001470,ok,130,29
001520,ok,58,8
0015N0,ok,204,18
001770,ok,263,19
001780,ok,133,5
001820,ok,74,11
001840,ok,273,8
002150,ok,18,3
002220,ok,102,7
002230,ok,634,20
002320,ok,54,5
002350,ok,37,4
002390,ok,104,12
002450,ok,95,1
002460,ok,74,6
002690,ok,198,22
002760,ok,257,13
002800,ok,452,11
002990,ok,99,10
003080,ok,94,0
003100,ok,113,24
003460,ok,232,10
003530,ok,89,11
003680,ok,83,7
0037T0,ok,59,19
003960,ok,134,16
004140,ok,81,16
0041L0,ok,47,14
004410,ok,263,16
004770,ok,223,10
004780,ok,34,4
004840,ok,72,5
004920,ok,511,76
004980,ok,121,10
005110,ok,418,26
005160,ok,156,12
005180,ok,92,9
005300,ok,86,5
005500,ok,54,7
005610,ok,90,3
005670,ok,514,36
005750,ok,87,15
005960,ok,246,32
006380,ok,38,7
006570,ok,380,20
0068Y0,ok,46,14
006910,ok,116,19
007210,ok,87,23
007280,ok,59,7
007540,ok,57,7
007590,ok,134,3
007700,ok,123,7
007820,ok,412,27
008290,ok,225,10
008470,ok,501,41
009270,ok,153,16
009320,ok,467,33
009410,ok,161,3
0097F0,ok,71,9
0099X0,ok,41,10
010120,ok,105,15
010170,ok,430,29
010580,ok,247,5
010640,ok,214,15
010770,ok,486,25
011150,ok,435,37
011210,ok,77,22
011320,ok,72,16
011500,ok,81,5
0115H0,ok,65,18
011780,ok,141,22
011930,ok,145,40
012030,ok,101,3
012210,ok,290,31
012320,ok,121,4
012330,ok,91,8
012630,ok,209,24
012750,ok,123,10
012790,ok,211,17
015890,ok,125,20
016100,ok,440,40
016250,ok,187,11
016790,ok,563,54
016880,ok,174,44
017040,ok,292,12
017480,ok,34,4
017510,ok,183,29
018680,ok,228,16
019180,ok,101,2
019660,ok,219,25
020710,ok,442,24
021320,ok,59,11
025000,ok,141,9
025560,ok,613,47
025620,ok,445,34
025870,ok,438,20
027410,ok,188,17
027710,ok,73,7
028050,ok,135,33
030530,ok,176,44
030610,ok,224,38
031860,ok,533,43
032280,ok,195,34
032640,ok,131,44
032820,ok,93,2
032960,ok,422,10
032980,ok,395,20
033160,ok,95,27
033230,ok,559,28
033270,ok,73,3
033500,ok,81,5
033790,ok,214,37
034940,ok,555,102
035420,skip_demo,0,0
035510,ok,80,81
035610,ok,452,29
035620,ok,561,38
036030,ok,36,2
036540,ok,74,2
036560,ok,50,2
036800,ok,93,40
036810,ok,110,16
037030,ok,545,44
038390,ok,90,9
038530,ok,495,22
038540,ok,162,15
038870,ok,441,51
039290,ok,485,37
039310,ok,211,24
039440,ok,83,27
039490,ok,109,24
039570,ok,91,12
039830,ok,78,13
041440,ok,130,29
042370,ok,560,37
042510,ok,466,45
043090,ok,583,26
043100,ok,559,44
043260,ok,101,5
043590,ok,548,36
044380,ok,560,38
044990,ok,366,24
046890,ok,81,1
046940,ok,63,10
048870,ok,626,59
049180,ok,650,38
049520,ok,493,21
050090,ok,160,6
051360,ok,103,19
051910,ok,100,7
052220,ok,418,28
052710,ok,154,40
052900,ok,578,42
053270,ok,54,16
053350,ok,456,7
053980,ok,424,30
054410,ok,143,17
054670,ok,66,7
054940,ok,450,18
058110,ok,422,61
059100,ok,204,18
059270,ok,192,17
060380,ok,369,44
061970,ok,88,10
064480,ok,162,17
065150,ok,484,31
065420,ok,185,20
065500,ok,479,14
065510,ok,94,3
065650,ok,710,48
065710,ok,344,15
067370,ok,171,17
067390,ok,96,24
068050,ok,557,35
068290,ok,53,3
068330,ok,22,3
068760,ok,72,1
069080,ok,41,11
070590,ok,371,30
070960,ok,88,13
071320,ok,58,15
071670,ok,29,3
071840,ok,44,19
072130,ok,370,20
073560,ok,149,6
075580,ok,84,2
078000,ok,425,54
078160,ok,108,22
078340,ok,107,19
078520,ok,523,29
078600,ok,135,3
079160,ok,130,16
079430,ok,122,49
079810,ok,106,4
079940,ok,69,13
080010,ok,467,41
080470,ok,370,26
081000,ok,129,4
083470,ok,598,34
084990,ok,463,19
086520,ok,131,21
086820,ok,488,49
086980,ok,470,21
087010,ok,239,30
088800,ok,103,18
089790,ok,541,17
089970,ok,469,19
091120,ok,16,3
092070,ok,241,16
092460,ok,69,0
093640,ok,371,46
094860,ok,396,40
095340,ok,118,31
095660,ok,78,18
096350,ok,450,28
097520,ok,98,26
097800,ok,207,25
097950,ok,168,37
098460,ok,107,16
099520,ok,430,14
100120,ok,63,11
100220,ok,92,8
100700,ok,370,10
101730,ok,114,16
102120,ok,520,46
104700,ok,46,3
107590,ok,77,17
108490,ok,408,47
109670,ok,462,30
111710,ok,166,10
112610,ok,130,21
114190,ok,587,18
115310,ok,360,13
115530,ok,394,19
117670,ok,239,21
117730,ok,596,27
119610,ok,94,3
121890,ok,214,12
122640,ok,685,54
123010,ok,409,51
123040,ok,131,18
123570,ok,461,30
125210,ok,504,31
126640,ok,51,31
128660,ok,417,21
128940,ok,122,21
129890,ok,363,24
130740,ok,462,36
131100,ok,252,25
131180,ok,189,9
134790,ok,384,22
136480,ok,82,11
137940,ok,539,13
140520,ok,59,12
140670,ok,474,54
141080,ok,101,27
143160,ok,104,16
145270,ok,93,7
148250,ok,606,56
153490,ok,528,33
153710,ok,288,21
159580,ok,486,19
159910,ok,461,72
161890,ok,59,7
163730,ok,477,42
166090,ok,87,3
170920,ok,560,47
171010,ok,431,46
177830,ok,452,38
178920,ok,48,9
