======================================================================
  FILMN9 — DCF 밸류에이션용 애널리스트 리포트 다운로드 체크리스트
  전체 634개  (코어 443 / 확장 191)
  사용법: PDF 받으면 [ ] -> [O] 로 표시
======================================================================

■ 코어 (시총 5천억+) — 443개  ★최우선
----------------------------------------------------------------------
[ ]   1. 삼성전자  (005930)  | KOSPI | 시총 18,532,703억
[ ]   2. SK하이닉스  (000660)  | KOSPI | 시총 16,627,346억
[ ]   3. 삼성전기  (009150)  | KOSPI | 시총 1,588,735억
[ ]   4. 현대차  (005380)  | KOSPI | 시총 1,480,399억
[ ]   5. LG에너지솔루션  (373220)  | KOSPI | 시총 1,071,720억
[ ]   6. HD현대중공업  (329180)  | KOSPI | 시총 730,530억
[ ]   7. 삼성물산  (028260)  | KOSPI | 시총 701,375억
[ ]   8. 현대모비스  (012330)  | KOSPI | 시총 696,826억
[ ]   9. 두산에너빌리티  (034020)  | KOSPI | 시총 676,433억
[ ]  10. 기아  (000270)  | KOSPI | 시총 660,579억
[ ]  11. 삼성바이오로직스  (207940)  | KOSPI | 시총 630,946억
[ ]  12. 한화에어로스페이스  (012450)  | KOSPI | 시총 604,839억
[ ]  13. 삼성SDI  (006400)  | KOSPI | 시총 554,428억
[ ]  14. LG전자  (066570)  | KOSPI | 시총 477,252억
[ ]  15. 셀트리온  (068270)  | KOSPI | 시총 428,474억
[ ]  16. HD현대일렉트릭  (267260)  | KOSPI | 시총 379,576억
[ ]  17. 한화오션  (042660)  | KOSPI | 시총 377,808억
[ ]  18. NAVER  (035420)  | KOSPI | 시총 367,085억
[ ]  19. LS ELECTRIC  (010120)  | KOSPI | 시총 362,250억
[ ]  20. LG이노텍  (011070)  | KOSPI | 시총 345,066억
[ ]  21. 효성중공업  (298040)  | KOSPI | 시총 343,610억
[ ]  22. 두산  (000150)  | KOSPI | 시총 319,342억
[ ]  23. 고려아연  (010130)  | KOSPI | 시총 286,586억
[ ]  24. 한미반도체  (042700)  | KOSPI | 시총 268,780억
[ ]  25. LG화학  (051910)  | KOSPI | 시총 259,074억
[ ]  26. 현대오토에버  (307950)  | KOSPI | 시총 255,317억
[ ]  27. 한국전력  (015760)  | KOSPI | 시총 249,724억
[ ]  28. 삼성중공업  (010140)  | KOSPI | 시총 245,960억
[ ]  29. 삼성에스디에스  (018260)  | KOSPI | 시총 231,360억
[ ]  30. 현대로템  (064350)  | KOSPI | 시총 218,830억
[ ]  31. 포스코퓨처엠  (003670)  | KOSPI | 시총 218,363억
[ ]  32. SK텔레콤  (017670)  | KOSPI | 시총 216,079억
[ ]  33. 에코프로비엠  (247540)  | KOSDAQ GLOBAL | 시총 212,292억
[ ]  34. SK이노베이션  (096770)  | KOSPI | 시총 201,511억
[ ]  35. 한화시스템  (272210)  | KOSPI | 시총 198,365억
[ ]  36. 알테오젠  (196170)  | KOSDAQ GLOBAL | 시총 197,734억
[ ]  37. KT&G  (033780)  | KOSPI | 시총 191,738억
[ ]  38. 카카오  (035720)  | KOSPI | 시총 185,289억
[ ]  39. HMM  (011200)  | KOSPI | 시총 184,497억
[ ]  40. 현대글로비스  (086280)  | KOSPI | 시총 181,875억
[ ]  41. LIG디펜스앤에어로스페이스  (079550)  | KOSPI | 시총 176,220억
[ ]  42. 한국항공우주  (047810)  | KOSPI | 시총 164,051억
[ ]  43. 현대건설  (000720)  | KOSPI | 시총 163,693억
[ ]  44. 에이피알  (278470)  | KOSPI | 시총 148,068억
[ ]  45. 레인보우로보틱스  (277810)  | KOSDAQ | 시총 136,187억
[ ]  46. KT  (030200)  | KOSPI | 시총 133,067억
[ ]  47. S-Oil  (010950)  | KOSPI | 시총 120,914억
[ ]  48. 크래프톤  (259960)  | KOSPI | 시총 118,803억
