Code,Name,Industry,Products
60310,3S,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",반도체 웨이퍼 캐리어
95570,AJ네트웍스,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)"
6840,AK홀딩스,기타 금융업,지주사업
54620,APS,기타 금융업,인터넷 트래픽 솔루션
79810,APS이노베이션,기타 전기장비 제조업,FPD공정검사장비
265520,AP시스템,특수 목적용 기계 제조업,디스플레이 제조 장비
211270,AP위성,통신 및 방송 장비 제조업,위성통신 단말기
27410,BGF,기타 금융업,지주회사
282330,BGF리테일,종합 소매업,체인화 편의점
126600,BGF에코머티리얼즈,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
138930,BNK금융지주,기타 금융업,금융지주회사
1460,BYC,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급"
1465,BYC우,,
83790,CG인바이츠,자연과학 및 공학 연구개발업,아셀렉스
1040,CJ,기타 금융업,지주회사
79160,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영"
35760,CJ ENM,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타"
311690,CJ 바이오사이언스,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스"
00104K,CJ4우(전환),,
120,CJ대한통운,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
11150,CJ씨푸드,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입"
11155,CJ씨푸드1우,,
1045,CJ우,,
97950,CJ제일제당,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매"
97955,CJ제일제당 우,,
51500,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
58820,CMG제약,의약품 제조업,의약품
56730,CNT85,건물 건설업,산업설비 제조외
480,CR홀딩스,"내화, 비내화 요업제품 제조업","내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조"
65770,CS,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)"
83660,CSA 코스믹,기타 화학제품 제조업,화장품 제조 및 판매
590,CS홀딩스,기타 금융업,"브랜드 수익, 자회사 배당"
12030,DB,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리"
477760,DB금융스팩12호,기타 금융업,기업인수 및 합병
