stock_code,corp_name,market,industry,wics,is_spac,is_preferred,has_multi_sector,needs_rerun,rerun_reasons
0001A0,덕양에너젠,KOSDAQ,전기·가스·수도,석유와가스,False,False,False,False,
000250,삼천당제약,KOSDAQ,제약,제약,False,False,False,False,
000440,중앙에너비스,KOSDAQ,유통,석유와가스,False,False,False,False,
0004V0,엔비알모션,KOSDAQ,금속,기계,False,False,False,False,
0004Y0,디비금융제14호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0007C0,아크릴,KOSDAQ,IT 서비스,IT서비스,False,False,False,False,
0007J0,인벤테라,KOSDAQ,일반서비스,제약,False,False,False,False,
0008Z0,에스엔시스,KOSDAQ,전기·전자,조선,False,False,False,False,
0009K0,에임드바이오,KOSDAQ,일반서비스,생물공학,False,False,False,False,
001000,신라섬유,KOSDAQ,부동산,부동산,False,False,False,False,
0010F0,보원케미칼,KOSDAQ,화학,화학,False,False,False,False,
0010V0,제이피아이헬스케어,KOSDAQ,의료·정밀기기,건강관리장비와용품,False,False,False,False,
0011A0,액스비스,KOSDAQ,전기·전자,전자장비와기기,False,False,False,False,
0011T0,채비,KOSDAQ,전기·전자,전기제품,False,False,False,False,
0013V0,삼진식품,KOSDAQ,음식료·담배,식품,False,False,False,False,
001540,안국약품,KOSDAQ,제약,제약,False,False,False,False,
0015G0,그린광학,KOSDAQ,의료·정밀기기,우주항공과국방,False,False,False,False,
0015N0,아로마티카,KOSDAQ,화학,화장품,False,False,False,False,
0015S0,페스카로,KOSDAQ,일반서비스,자동차부품,False,False,False,False,
001810,무림SP,KOSDAQ,종이·목재,종이와목재,False,False,False,True,비율단일값(합계만)
001840,이화공영,KOSDAQ,건설,건설,False,False,False,False,
002230,피에스텍,KOSDAQ,의료·정밀기기,전기제품,False,False,False,False,
002290,삼일기업공사,KOSDAQ,건설,건설,False,False,False,False,
002680,한탑,KOSDAQ,음식료·담배,식품,False,False,False,False,
002800,신신제약,KOSDAQ,제약,제약,False,False,False,False,
003100,선광,KOSDAQ,운송·창고,운송인프라,False,False,False,False,
003310,대주산업,KOSDAQ,음식료·담배,식품,False,False,False,False,
003380,하림지주,KOSDAQ,금융,식품,False,False,False,False,
0037T0,KB제32호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
003800,에이스침대,KOSDAQ,기타제조,가구,False,False,False,False,
0041B0,교보18호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0041J0,엘에스스팩1호,KOSDAQ,금융,창업투자,True,False,False,False,
0041L0,하나35호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0044K0,삼성스팩10호,KOSDAQ,금융,창업투자,True,False,False,False,
004590,한국가구,KOSDAQ,유통,식품과기본식료품소매,False,False,False,False,
004650,창해에탄올,KOSDAQ,음식료·담배,음료,False,False,False,False,
004780,대륙제관,KOSDAQ,금속,포장재,False,False,False,False,
005160,동국산업,KOSDAQ,금속,철강,False,False,False,False,
005290,동진쎄미켐,KOSDAQ,화학,반도체와반도체장비,False,False,False,False,
0054V0,엔에이치스팩32호,KOSDAQ,금융,창업투자,True,False,False,False,
005670,푸드웰,KOSDAQ,음식료·담배,식품,False,False,False,False,
005710,대원산업,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
005860,한일사료,KOSDAQ,음식료·담배,식품,False,False,False,False,
005990,매일홀딩스,KOSDAQ,음식료·담배,식품,False,False,False,False,
006050,국영지앤엠,KOSDAQ,비금속,건축제품,False,False,False,False,
006140,피제이전자,KOSDAQ,의료·정밀기기,건강관리장비와용품,False,False,False,False,
006620,동구바이오제약,KOSDAQ,제약,제약,False,False,False,False,
006730,서부T&D,KOSDAQ,일반서비스,"호텔,레스토랑,레저",False,False,False,False,
0068Y0,비엔케이제3호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
006910,보성파워텍,KOSDAQ,금속,전기장비,False,False,False,True,비율합계8%
006920,모헨즈,KOSDAQ,비금속,건축자재,False,False,False,False,
0071M0,삼성스팩11호,KOSDAQ,금융,창업투자,True,False,False,False,
0072Z0,KB제33호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
007330,푸른저축은행,KOSDAQ,금융,기타금융,False,False,False,False,
007370,진양제약,KOSDAQ,제약,제약,False,False,False,False,
007390,네이처셀,KOSDAQ,제약,생물공학,False,False,False,False,
007530,와이엠,KOSDAQ,금속,자동차부품,False,False,False,False,
007680,대원,KOSDAQ,건설,건설,False,False,False,False,
007720,소노스퀘어,KOSDAQ,유통,판매업체,False,False,False,False,
007770,한일화학,KOSDAQ,화학,화학,False,False,False,False,
007820,엠엑스로보틱스,KOSDAQ,기계·장비,기계,False,False,False,False,
008290,원풍물산,KOSDAQ,섬유·의류,"섬유,의류,신발,호화품",False,False,False,False,
0082N0,카나프테라퓨틱스,KOSDAQ,일반서비스,제약,False,False,False,False,
008370,원풍,KOSDAQ,화학,화학,False,False,False,False,
008470,부스타,KOSDAQ,금속,기계,False,False,False,False,
008830,대동기어,KOSDAQ,기계·장비,기계,False,False,False,False,
0088D0,메리츠제1호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0088M0,메쥬,KOSDAQ,의료·정밀기기,건강관리장비와용품,False,False,False,False,
0091W0,신영스팩11호,KOSDAQ,금융,창업투자,True,False,False,False,
009300,삼아제약,KOSDAQ,제약,제약,False,False,False,False,
0093G0,미래에셋비전스팩8호,KOSDAQ,금융,창업투자,True,False,False,False,
009520,포스코엠텍,KOSDAQ,금속,철강,False,False,False,False,
009620,삼보산업,KOSDAQ,금속,비철금속,False,False,False,False,
0096B0,삼성스팩12호,KOSDAQ,금융,창업투자,True,False,False,False,
0096D0,미래에셋비전스팩9호,KOSDAQ,금융,창업투자,True,False,False,False,
009730,이렘,KOSDAQ,금속,비철금속,False,False,False,False,
009780,엠에스씨,KOSDAQ,음식료·담배,식품,False,False,False,False,
0097F0,미래에셋비전스팩10호,KOSDAQ,금융,창업투자,True,False,False,False,
0098T0,교보19호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0099W0,미래에셋비전스팩11호,KOSDAQ,금융,창업투자,True,False,False,False,
0099X0,IBKS제25호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
010170,대한광통신,KOSDAQ,전기·전자,통신장비,False,False,False,False,
0101C0,하나36호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
010240,흥국,KOSDAQ,기계·장비,기계,False,False,False,False,
010280,아이티센엔텍,KOSDAQ,IT 서비스,IT서비스,False,False,False,False,
010470,오리콤,KOSDAQ,일반서비스,광고,False,False,False,False,
0105P0,유진스팩12호,KOSDAQ,금융,창업투자,True,False,False,False,
011040,경동제약,KOSDAQ,제약,제약,False,False,False,False,
011080,형지I&C,KOSDAQ,섬유·의류,"섬유,의류,신발,호화품",False,False,False,False,
011320,유니크,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
011370,서한,KOSDAQ,건설,건설,False,False,False,False,
011560,세보엠이씨,KOSDAQ,건설,건설,False,False,False,False,
0115H0,삼성스팩13호,KOSDAQ,금융,창업투자,True,False,False,False,
012210,삼미금속,KOSDAQ,금속,기계,False,False,False,False,
012340,뉴인텍,KOSDAQ,운송장비·부품,전기제품,False,False,False,False,
012620,원일특강,KOSDAQ,금속,철강,False,False,False,False,
012700,리드코프,KOSDAQ,유통,석유와가스,False,False,True,False,
012790,신일제약,KOSDAQ,제약,제약,False,False,False,False,
012860,모베이스전자,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
0129K0,신한제18호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
013030,하이록코리아,KOSDAQ,금속,기계,False,False,False,False,
0130D0,신한제17호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0130H0,엔에이치스팩33호,KOSDAQ,금융,창업투자,True,False,False,False,
013120,동원개발,KOSDAQ,건설,건설,False,False,False,False,
0131D0,키움히어로제2호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
0132G0,교보20호스팩,KOSDAQ,금융,창업투자,True,False,False,False,
013310,아진산업,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
013720,THE CUBE&,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
013810,스페코,KOSDAQ,기계·장비,건설,False,False,False,False,
013990,아가방컴퍼니,KOSDAQ,유통,"섬유,의류,신발,호화품",False,False,False,False,
014100,메디앙스,KOSDAQ,유통,화장품,False,False,False,False,
014190,원익큐브,KOSDAQ,유통,화학,False,False,False,False,
014470,부방,KOSDAQ,부동산,가정용기기와용품,False,False,False,False,
014570,고려제약,KOSDAQ,제약,제약,False,False,False,False,
014620,성광벤드,KOSDAQ,금속,기계,False,False,False,False,
014940,오리엔탈정공,KOSDAQ,기계·장비,조선,False,False,False,False,
014950,삼익제약,KOSDAQ,제약,제약,False,False,False,False,
014970,삼륭물산,KOSDAQ,종이·목재,포장재,False,False,False,False,
015710,코콤,KOSDAQ,전기·전자,통신장비,False,False,False,False,
015750,성우하이텍,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
016100,리더스코스메틱,KOSDAQ,종이·목재,포장재,False,False,False,False,
016250,SGC E&C,KOSDAQ,건설,건설,False,False,False,False,
016600,큐캐피탈,KOSDAQ,금융,창업투자,False,False,False,False,
016670,디모아,KOSDAQ,유통,소프트웨어,False,False,False,False,
016790,현대사료,KOSDAQ,음식료·담배,식품,False,False,False,False,
016920,카스,KOSDAQ,유통,전자장비와기기,False,False,False,False,
017000,신원종합개발,KOSDAQ,건설,건설,False,False,False,False,
017250,인터엠,KOSDAQ,전기·전자,전자장비와기기,False,False,False,False,
017480,삼현철강,KOSDAQ,금속,철강,False,False,False,False,
017510,세명전기,KOSDAQ,금속,전기장비,False,False,False,False,
017650,대림제지,KOSDAQ,종이·목재,포장재,False,False,False,False,
017890,한국알콜,KOSDAQ,화학,화학,False,False,False,False,
018000,유니슨,KOSDAQ,기계·장비,에너지장비및서비스,False,False,False,True,비율단일값(합계만)
018120,진로발효,KOSDAQ,음식료·담배,음료,False,False,False,False,
018290,브이티,KOSDAQ,화학,화장품,False,False,False,False,
018310,삼목에스폼,KOSDAQ,금속,건축제품,False,False,False,False,
018620,우진비앤지,KOSDAQ,제약,제약,False,False,False,False,
018680,서울제약,KOSDAQ,제약,제약,False,False,False,False,
018700,바른손,KOSDAQ,유통,화장품,False,False,False,False,
019010,베뉴지,KOSDAQ,유통,"호텔,레스토랑,레저",False,False,False,False,
019210,와이지-원,KOSDAQ,금속,기계,False,False,False,False,
019540,일지테크,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
019550,SBI인베스트먼트,KOSDAQ,금융,창업투자,False,False,False,False,
019570,플루토스,KOSDAQ,금융,창업투자,False,False,False,False,
019660,글로본,KOSDAQ,유통,판매업체,False,False,False,False,
019770,서연탑메탈,KOSDAQ,기계·장비,자동차부품,False,False,False,False,
019990,에너토크,KOSDAQ,기계·장비,기계,False,False,False,False,
020180,대신정보통신,KOSDAQ,IT 서비스,IT서비스,False,False,False,False,
020400,대동금속,KOSDAQ,금속,자동차부품,False,False,False,False,
020710,시공테크,KOSDAQ,일반서비스,"호텔,레스토랑,레저",False,False,False,False,
021040,대호특수강,KOSDAQ,금속,철강,False,False,False,False,
021045,대호특수강우,KOSDAQ,금속,철강,False,True,False,False,
021080,에이티넘인베스트,KOSDAQ,금융,창업투자,False,False,False,False,
021320,KCC건설,KOSDAQ,건설,건설,False,False,False,False,
021650,한국큐빅,KOSDAQ,화학,자동차부품,False,False,False,False,
021880,메이슨캐피탈,KOSDAQ,금융,기타금융,False,False,False,False,
022220,티케이지애강,KOSDAQ,화학,건축제품,False,False,False,False,
023160,태광,KOSDAQ,금속,기계,False,False,False,False,
023410,유진기업,KOSDAQ,비금속,건축자재,False,False,False,False,
023440,제이스코홀딩스,KOSDAQ,금속,철강,False,False,False,False,
023600,삼보판지,KOSDAQ,종이·목재,포장재,False,False,False,False,
023760,한국캐피탈,KOSDAQ,금융,기타금융,False,False,False,False,
023770,플레이위드,KOSDAQ,IT 서비스,게임엔터테인먼트,False,False,False,False,
023790,동일스틸럭스,KOSDAQ,금속,철강,False,False,False,False,
023900,풍국주정,KOSDAQ,음식료·담배,화학,False,False,False,False,
023910,대한약품,KOSDAQ,제약,제약,False,False,False,False,
024060,흥구석유,KOSDAQ,유통,석유와가스,False,False,False,False,
024120,KB오토시스,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
024740,한일단조,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
024800,유성티엔에스,KOSDAQ,운송·창고,도로와철도운송,False,False,False,False,
024830,세원물산,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
024840,KBI메탈,KOSDAQ,금속,전기장비,False,False,False,False,
024850,HLB이노베이션,KOSDAQ,전기·전자,반도체와반도체장비,False,False,False,False,
024880,케이피에프,KOSDAQ,금속,기계,False,False,False,False,
024910,경창산업,KOSDAQ,운송장비·부품,자동차부품,False,False,False,False,
024940,PN풍년,KOSDAQ,유통,가정용기기와용품,False,False,False,False,
024950,삼천리자전거,KOSDAQ,유통,레저용장비와제품,False,False,False,False,
025320,시노펙스,KOSDAQ,전기·전자,핸드셋,False,False,False,False,
025440,DH오토웨어,KOSDAQ,전기·전자,자동차부품,False,False,False,False,
025550,한국선재,KOSDAQ,금속,철강,False,False,False,False,
025770,한국정보통신,KOSDAQ,통신,IT서비스,False,False,False,False,
025870,신라에스지,KOSDAQ,유통,식품,False,False,False,False,
025880,케이씨피드,KOSDAQ,음식료·담배,식품,False,False,False,False,
025900,동화기업,KOSDAQ,종이·목재,건축자재,False,False,False,False,
025950,동신건설,KOSDAQ,건설,건설,False,False,False,False,
