종목코드,종목명,자기주식 제외 시가총액(A*B),종가,자기주식 제외 발행주식수(B=C-D),총발행주식수(C),자기주식수(D),자기주식수 반영시점
"060310","3S","77572316480","1462","53059040","53059040","0","2025-12"
"095570","AJ네트웍스","214357529500","4790","44751050","45252759","501709","2025-12"
"006840","AK홀딩스","104233505050","7990","13045495","13247561","202066","2025-12"
"054620","APS","93812892100","5570","16842530","18394221","1551691","2025-12"
"079810","APS이노베이션","109958098470","5170","21268491","21528094","259603","2025-12"
"265520","AP시스템","388225267500","26250","14789534","15050821","261287","2025-12"
"211270","AP위성","256481561220","18020","14233161","15082304","849143","2025-12"
"027410","BGF","467058778080","4880","95708766","95716791","8025","2025-12"
"282330","BGF리테일","2352857043000","136200","17275015","17283906","8891","2025-12"
"126600","BGF에코머티리얼즈","239337033000","3865","61924200","62766899","842699","2025-12"
"138930","BNK금융지주","5356244589580","17260","310327033","310327033","0","2025-12"
"001460","BYC","278679128000","45500","6124816","6246150","121334","2025-12"
"083790","CG인바이츠","87274896570","1135","76894182","76894182","0","2025-12"
"001040","CJ","4608054716200","170300","27058454","29176998","2118544","2025-12"
"079160","CJ CGV","813837422275","4915","165582385","165582385","0","2025-12"
"035760","CJ ENM","881656082500","42500","20744849","21929154","1184305","2025-12"
"311690","CJ 바이오사이언스","80352591300","6150","13065462","13065462","0","2025-12"
"000120","CJ대한통운","1779105506800","89200","19945129","22812344","2867215","2025-12"
"011150","CJ씨푸드","88030393850","2450","35930773","35930773","0","2025-12"
"097950","CJ제일제당","3255358698500","221500","14696879","15054186","357307","2025-12"
"051500","CJ프레시웨이","295602491400","24900","11871586","11871586","0","2025-12"
"058820","CMG제약","214371165350","1450","147842183","147842183","0","2025-12"
"056730","CNT85","21399140430","2070","10337749","14822237","4484488","2025-12"
"000480","CR홀딩스","199062863400","4825","41256552","46890490","5633938","2025-12"
"065770","CS","30747229920","1584","19411130","19411130","0","2025-12"
"083660","CSA 코스믹","19162984995","305","62829459","62829459","0","2025-12"
"000590","CS홀딩스","79796402500","77500","1029631","1154482","124851","2025-12"
"012030","DB","382061066000","2000","191030533","201173933","10143400","2025-12"
"477760","DB금융스팩12호","13023200000","2230","5840000","5840000","0","2025-12"
"005830","DB손해보험","9115626770800","160600","56759818","65500349","8740531","2025-12"
"016610","DB증권","500744237500","12500","40059539","42446389","2386850","2025-12"
"000990","DB하이텍","7257712327300","170900","42467597","43504588","1036991","2025-12"
"099520","DGI","58000622016","1284","45171824","45281824","110000","2025-12"
"000300","DH오토넥스","174035631000","4200","41437055","41437055","0","2025-12"
"290120","DH오토리드","43041957280","2720","15824249","15824249","0","2025-12"
"025440","DH오토웨어","38094740937","781","48776877","48781224","4347","2025-12"
"001530","DI동일","574790328750","27750","20713165","20715621","2456","2025-12"
"015590","DKME","137449284500","2900","47396305","47396308","3","2025-12"
"000210","DL","1201423729800","57400","20930727","20955884","25157","2025-12"
"375500","DL이앤씨","2993186899000","79700","37555670","38693623","1137953","2025-12"
"068790","DMS","160474292640","7110","22570224","22570224","0","2025-12"
"007340","DN오토모티브","2520822549000","48700","51762270","58510865","6748595","2025-12"
"004840","DRB동일","91770609040","4930","18614728","19272364","657636","2025-12"
"241520","DSC인베스트먼트","339356945840","13360","25400969","26600000","1199031","2025-12"
"155660","DSR","71200000000","4450","16000000","16000000","0","2025-12"
"069730","DSR제강","76608000000","5320","14400000","14400000","0","2025-12"
"017860","DS단석","332329869630","18810","17667723","17759139","91416","2025-12"
"180400","DXVX","335641853360","3410","98428696","98429432","736","2025-12"
"092780","DYP","62473613400","4950","12620932","13168460","547528","2025-12"
"017940","E1","549266345000","95000","5781751","6860000","1078249","2025-12"
"418620","E8","25746068669","1297","19850477","19850477","0","2025-12"
"245620","EDGC","57441040175","415","138412145","138493951","81806","2025-12"
"037370","EG","40364868960","4680","8624972","8624972","0","2025-12"
"050120","ES큐브","38173204950","2850","13394107","13564086","169979","2025-12"
"383220","F&F","3054748281000","81500","37481574","38307075","825501","2025-12"
"007700","F&F홀딩스","714979041900","18300","39069893","39114367","44474","2025-12"
"214270","FSN","69868525984","1544","45251636","45254585","2949","2025-12"
"032620","GC메디아이","185868854400","3660","50783840","52197139","1413299","2025-12"
"130500","GH신소재","34980804365","2405","14545033","14545052","19","2025-12"
"114090","GKL","753402060600","12180","61855670","61855670","0","2025-12"
"078930","GS","6948583026000","74800","92895495","92915378","19883","2025-12"
"083450","GST","1064272632500","59500","17886935","18430000","543065","2025-12"
"006360","GS건설","2674000192500","31500","84888895","85581490","692595","2025-12"
"001250","GS글로벌","312244339570","3785","82495202","82533764","38562","2025-12"
"007070","GS리테일","2373262756000","28400","83565590","83607415","41825","2025-12"
"499790","GS피앤엘","960543301000","48550","19784620","19830841","46221","2025-12"
"297890","HB솔루션","169686920480","2320","73140914","73140914","0","2025-12"
"440290","HB인베스트먼트","55287924300","2010","27506430","27506430","0","2025-12"
"078150","HB테크놀러지","326540721150","3675","88854618","92715916","3861298","2025-12"
"225530","HC보광산업","111922737080","3080","36338551","36338727","176","2025-12"
"060560","HC홈센타","77814223065","3065","25388001","25388001","0","2025-12"
"012630","HDC","1138539123000","23000","49501701","59741721","10240020","2025-12"
"039570","HDC랩스","181497388700","7900","22974353","25957601","2983248","2025-12"
"089470","HDC현대EP","117068000000","4520","25900000","31900000","6000000","2025-12"
"267270","HD건설기계","7819398184000","163000","47971768","47974118","2350","2025-12"
"009540","HD한국조선해양","28992998300000","410000","70714630","70773116","58486","2025-12"
"267250","HD현대","19009807670000","269000","70668430","78993085","8324655","2025-12"
"443060","HD현대마린솔루션","9908194660000","221000","44833460","44833460","0","2025-12"
"071970","HD현대마린엔진","2605169126400","76800","33921473","33921495","22","2025-12"
"322000","HD현대에너지솔루션","2374400000000","212000","11200000","11200000","0","2025-12"
"267260","HD현대일렉트릭","41283631488000","1147000","35992704","36047135","54431","2025-12"
"329180","HD현대중공업","64533656010000","615000","104932774","104961225","28451","2025-12"
"376270","HEM파마","432724076100","60300","7176187","7186187","10000","2025-12"
"097230","HJ중공업","2085685209300","23100","90289403","90295344","5941","2025-12"
"195940","HK이노엔","1323005909700","46700","28329891","28329891","0","2025-12"
"014790","HL D&I","110168528910","2910","37858601","37858601","0","2025-12"
"028300","HLB","6686206772800","50300","132926576","133183277","256701","2025-12"
"003580","HLB글로벌","92500859770","1826","50657645","50663505","5860","2025-12"
"278650","HLB바이오스텝","77518894860","4785","16200396","17432396","1232000","2025-12"
"067630","HLB생명과학","424028040240","3480","121847138","121917058","69920","2025-12"
"024850","HLB이노베이션","634521480000","20000","31726074","31733098","7024","2025-12"
"187420","HLB제넥스","75688714950","2325","32554286","32554286","0","2025-12"
"047920","HLB제약","450983156250","13750","32798775","32799356","581","2025-12"
"115450","HLB테라퓨틱스","264906853795","3005","88155359","88580109","424750","2025-12"
