우선순위,종목코드,종목명,시장,시총(억원),티어,업종,다운로드완료(O/X)
1,005930,삼성전자,KOSPI,"18,532,703",코어(5천억+),통신 및 방송 장비 제조업 nan,
2,000660,SK하이닉스,KOSPI,"16,627,346",코어(5천억+),반도체 제조업 nan,
3,009150,삼성전기,KOSPI,"1,588,735",코어(5천억+),전자부품 제조업 nan,
4,005380,현대차,KOSPI,"1,480,399",코어(5천억+),자동차용 엔진 및 자동차 제조업 nan,
5,373220,LG에너지솔루션,KOSPI,"1,071,720",코어(5천억+),일차전지 및 이차전지 제조업 nan,
6,329180,HD현대중공업,KOSPI,"730,530",코어(5천억+),선박 및 보트 건조업 nan,
7,028260,삼성물산,KOSPI,"701,375",코어(5천억+),기타 전문 도매업 nan,
8,012330,현대모비스,KOSPI,"696,826",코어(5천억+),자동차 신품 부품 제조업 nan,
9,034020,두산에너빌리티,KOSPI,"676,433",코어(5천억+),일반 목적용 기계 제조업 nan,
10,000270,기아,KOSPI,"660,579",코어(5천억+),자동차용 엔진 및 자동차 제조업 nan,
11,207940,삼성바이오로직스,KOSPI,"630,946",코어(5천억+),기초 의약물질 제조업 nan,
12,012450,한화에어로스페이스,KOSPI,"604,839",코어(5천억+),"항공기,우주선 및 부품 제조업 nan",
13,006400,삼성SDI,KOSPI,"554,428",코어(5천억+),일차전지 및 이차전지 제조업 nan,
14,066570,LG전자,KOSPI,"477,252",코어(5천억+),통신 및 방송 장비 제조업 nan,
15,068270,셀트리온,KOSPI,"428,474",코어(5천억+),기초 의약물질 제조업 nan,
16,267260,HD현대일렉트릭,KOSPI,"379,576",코어(5천억+),"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업 nan",
17,042660,한화오션,KOSPI,"377,808",코어(5천억+),선박 및 보트 건조업 nan,
18,035420,NAVER,KOSPI,"367,085",코어(5천억+),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업 nan",
19,010120,LS ELECTRIC,KOSPI,"362,250",코어(5천억+),"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업 nan",
20,011070,LG이노텍,KOSPI,"345,066",코어(5천억+),전자부품 제조업 nan,
21,298040,효성중공업,KOSPI,"343,610",코어(5천억+),"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업 nan",
22,000150,두산,KOSPI,"319,342",코어(5천억+),전자부품 제조업 nan,
23,010130,고려아연,KOSPI,"286,586",코어(5천억+),1차 비철금속 제조업 nan,
24,042700,한미반도체,KOSPI,"268,780",코어(5천억+),특수 목적용 기계 제조업 nan,
25,051910,LG화학,KOSPI,"259,074",코어(5천억+),기초 화학물질 제조업 nan,
26,307950,현대오토에버,KOSPI,"255,317",코어(5천억+),소프트웨어 개발 및 공급업 nan,
27,015760,한국전력,KOSPI,"249,724",코어(5천억+),전기업 nan,
28,010140,삼성중공업,KOSPI,"245,960",코어(5천억+),선박 및 보트 건조업 nan,
29,018260,삼성에스디에스,KOSPI,"231,360",코어(5천억+),"컴퓨터 프로그래밍, 시스템 통합 및 관리업 nan",
30,064350,현대로템,KOSPI,"218,830",코어(5천억+),그외 기타 운송장비 제조업 nan,
31,003670,포스코퓨처엠,KOSPI,"218,363",코어(5천억+),일차전지 및 이차전지 제조업 nan,
32,017670,SK텔레콤,KOSPI,"216,079",코어(5천억+),전기 통신업 nan,
33,247540,에코프로비엠,KOSDAQ GLOBAL,"212,292",코어(5천억+),일차전지 및 이차전지 제조업 중견기업부,
34,096770,SK이노베이션,KOSPI,"201,511",코어(5천억+),석유 정제품 제조업 nan,
35,272210,한화시스템,KOSPI,"198,365",코어(5천억+),전자부품 제조업 nan,
36,196170,알테오젠,KOSDAQ GLOBAL,"197,734",코어(5천억+),자연과학 및 공학 연구개발업 우량기업부,
37,033780,KT&G,KOSPI,"191,738",코어(5천억+),담배 제조업 nan,
38,035720,카카오,KOSPI,"185,289",코어(5천억+),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업 nan",
39,011200,HMM,KOSPI,"184,497",코어(5천억+),해상 운송업 nan,
40,086280,현대글로비스,KOSPI,"181,875",코어(5천억+),기타 운송관련 서비스업 nan,
41,079550,LIG디펜스앤에어로스페이스,KOSPI,"176,220",코어(5천억+),무기 및 총포탄 제조업 nan,
42,047810,한국항공우주,KOSPI,"164,051",코어(5천억+),"항공기,우주선 및 부품 제조업 nan",
43,000720,현대건설,KOSPI,"163,693",코어(5천억+),토목 건설업 nan,
44,278470,에이피알,KOSPI,"148,068",코어(5천억+),기타 화학제품 제조업 nan,
45,277810,레인보우로보틱스,KOSDAQ,"136,187",코어(5천억+),특수 목적용 기계 제조업 기술성장기업부,
46,030200,KT,KOSPI,"133,067",코어(5천억+),전기 통신업 nan,
47,010950,S-Oil,KOSPI,"120,914",코어(5천억+),석유 정제품 제조업 nan,
48,259960,크래프톤,KOSPI,"118,803",코어(5천억+),소프트웨어 개발 및 공급업 nan,
49,047050,포스코인터내셔널,KOSPI,"112,239",코어(5천억+),상품 중개업 nan,
50,064400,LG씨엔에스,KOSPI,"110,256",코어(5천억+),"컴퓨터 프로그래밍, 시스템 통합 및 관리업 nan",
51,047040,대우건설,KOSPI,"107,658",코어(5천억+),건물 건설업 nan,
52,028050,삼성E&A,KOSPI,"103,684",코어(5천억+),"건축기술, 엔지니어링 및 관련 기술 서비스업 nan",
