종목코드,회사명,시장,업종,재무하이라이트,재무제표1년+,주가,손익흐름도,주주구성,경영인,재무제표3년,히스토리브리핑,밸류에이션,밸류상세JSON,핵심누락수
000010,(주)신한은행,KOSPI/KOSDAQ,64121,O,O,X,X,O,O,O,X,X,X,2
000020,동화약품,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,O,O,0
000030,(주)우리은행,KOSPI/KOSDAQ,64121,O,O,X,X,O,O,O,X,X,X,2
000040,KR모터스,KOSPI/KOSDAQ,319,O,O,O,O,O,O,O,O,O,O,0
000050,경방,KOSPI/KOSDAQ,47119,O,O,O,O,O,O,O,O,O,O,0
000060,메리츠화재해상보험(주),KOSPI/KOSDAQ,65121,O,O,X,O,O,O,O,X,X,X,1
000070,삼양홀딩스,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,X,X,0
000080,하이트진로,KOSPI/KOSDAQ,11122,O,O,O,O,O,O,O,O,O,O,0
000100,유한양행,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,O,O,0
000110,(주)한국스탠다드차타드은행,KOSPI/KOSDAQ,64121,O,O,X,X,O,O,O,X,X,X,2
000120,CJ대한통운,KOSPI/KOSDAQ,493,O,O,O,O,O,O,O,O,O,O,0
000140,하이트진로홀딩스,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,X,X,0
000150,두산,KOSPI/KOSDAQ,26221,O,O,O,O,O,O,O,O,O,O,0
000180,성창기업지주,KOSPI/KOSDAQ,71531,O,O,O,O,O,O,O,O,X,X,0
0001A0,덕양에너젠,기타,352,O,O,O,O,O,O,O,O,X,X,0
000210,DL,KOSPI/KOSDAQ,20111,O,O,O,O,O,O,O,O,O,O,0
000220,유유제약,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,O,O,0
000230,일동홀딩스,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,X,X,0
000240,한국앤컴퍼니,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,O,O,0
000250,삼천당제약,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,O,O,0
000270,기아,KOSPI/KOSDAQ,30121,O,O,O,O,O,O,O,O,O,O,0
000300,DH오토넥스,KOSPI/KOSDAQ,303,O,O,O,O,O,O,O,O,O,O,0
000320,노루홀딩스,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,X,X,0
000360,삼환기업(주),KOSPI/KOSDAQ,41221,X,X,X,X,X,X,X,X,X,X,6
000370,한화손해보험,KOSPI/KOSDAQ,65121,O,O,O,O,O,O,O,O,X,X,0
000380,대아건설(주),KOSPI/KOSDAQ,41221,X,X,X,X,X,X,X,X,X,X,6
000390,SP삼화,KOSPI/KOSDAQ,20411,O,O,O,O,O,O,O,O,O,O,0
000400,롯데손해보험,KOSPI/KOSDAQ,65121,O,O,O,O,O,O,O,O,X,X,0
000420,(주)로케트전기,KOSPI/KOSDAQ,28201,X,X,X,X,X,X,X,X,X,X,6
000430,대원강업,KOSPI/KOSDAQ,303,O,O,O,O,O,O,O,O,O,O,0
000440,중앙에너비스,KOSPI/KOSDAQ,46712,O,O,O,O,O,O,O,O,O,O,0
000470,그린손해보험(주),KOSPI/KOSDAQ,65121,X,X,X,X,X,X,X,X,X,X,6
000480,CR홀딩스,KOSPI/KOSDAQ,2321,O,O,O,O,O,O,O,O,X,X,0
000490,대동,KOSPI/KOSDAQ,29210,O,O,O,O,O,O,O,O,O,O,0
0004V0,엔비알모션,기타,259,O,O,O,O,O,O,O,X,X,X,0
0004Y0,디비금융제14호스팩,기타,649,O,O,O,X,O,O,X,X,X,X,1
000500,가온전선,KOSPI/KOSDAQ,28302,O,O,O,O,O,O,O,O,O,O,0
000520,삼일제약,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,O,O,0
000540,흥국화재,KOSPI/KOSDAQ,65121,O,O,O,O,O,O,O,O,X,X,0
000590,CS홀딩스,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,X,X,0
000610,제일화재해상보험(주),KOSPI/KOSDAQ,65121,X,X,X,X,X,X,X,X,X,X,6
000640,동아쏘시오홀딩스,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,X,X,0
000650,천일고속,KOSPI/KOSDAQ,49220,O,O,O,O,O,O,O,O,O,O,0
000660,SK하이닉스,KOSPI/KOSDAQ,2612,O,O,O,O,O,O,O,O,O,O,0
000670,영풍,KOSPI/KOSDAQ,24213,O,O,O,O,O,O,O,O,O,O,0
000680,LS네트웍스,KOSPI/KOSDAQ,46800,O,O,O,O,O,O,O,O,O,O,0
000700,유수홀딩스,KOSPI/KOSDAQ,715,O,O,O,O,O,O,O,O,X,X,0
000720,현대건설,KOSPI/KOSDAQ,41221,O,O,O,O,O,O,O,O,O,O,0
000760,이화산업,KOSPI/KOSDAQ,467,O,O,O,O,O,O,O,O,O,O,0
000790,(주)씨앤상선,KOSPI/KOSDAQ,50112,X,X,X,X,X,X,X,X,X,X,6
0007C0,아크릴,기타,58222,O,O,O,O,O,O,O,O,X,X,0
0007J0,인벤테라,기타,70113,O,O,O,X,O,O,O,O,X,X,1
000800,경남기업(주),KOSPI/KOSDAQ,41112,O,O,X,O,O,O,O,X,X,X,1
000810,삼성화재,KOSPI/KOSDAQ,65121,O,O,O,O,O,O,O,O,X,X,0
000830,삼성물산(주),KOSPI/KOSDAQ,467,X,X,X,X,X,X,X,X,X,X,6
000850,화천기공,KOSPI/KOSDAQ,29223,O,O,O,O,O,O,O,O,O,O,0
000860,강남제비스코,KOSPI/KOSDAQ,20411,O,O,O,O,O,O,O,O,O,O,0
000880,한화,KOSPI/KOSDAQ,20494,O,O,O,O,O,O,O,O,O,O,0
000890,보해양조,KOSPI/KOSDAQ,11122,O,O,O,O,O,O,O,O,O,O,0
0008Z0,에스엔시스,기타,28123,O,O,O,O,O,O,O,X,X,X,0
000910,유니온,KOSPI/KOSDAQ,23311,O,O,O,O,O,O,O,O,O,O,0
000950,전방,KOSPI/KOSDAQ,13101,O,O,O,O,O,O,O,O,O,O,0
000970,한국주철관,KOSPI/KOSDAQ,24131,O,O,O,O,O,O,O,O,O,O,0
000990,DB하이텍,KOSPI/KOSDAQ,2611,O,O,O,O,O,O,O,O,O,O,0
0009K0,에임드바이오,기타,70113,O,O,O,O,O,O,O,O,X,X,0
001000,신라섬유,KOSPI/KOSDAQ,681,O,O,O,O,O,O,O,O,O,O,0
001020,페이퍼코리아,KOSPI/KOSDAQ,171,O,O,O,O,O,O,O,O,O,O,0
001040,CJ,KOSPI/KOSDAQ,64992,O,O,O,O,O,O,O,O,O,O,0
001060,JW중외제약,KOSPI/KOSDAQ,212,O,O,O,O,O,O,O,O,O,O,0
001070,대한방직,KOSPI/KOSDAQ,132,O,O,O,O,O,O,O,O,O,O,0
