종목코드,종목명,밸류_current_price,밸류_as_of,적정가,상승여력%,ohlcv_최신종가,ohlcv_기준일,괴리%,판정
000250,삼천당제약,326500.0,2026-06-01,2403.0043918757365,-99.2640109060105,258500,2026-06-10,26.3,과대의심
000660,에스케이하이닉스,2363000.0,2026-06-01,305687.69538744766,-87.0635761579582,2048000,2026-06-10,15.4,과대의심
000720,현대건설,134200.0,2026-06-04,85116.46178608389,-36.57491670187489,130300,2026-06-10,3.0,정상범위
003230,삼양식품,1166000.0,2026-06-01,1392968.503344273,19.46556632455172,1136000,2026-06-10,2.6,정상범위
003490,대한항공,25800.0,2026-06-01,78842.55329941747,205.59129185820723,25450,2026-06-10,1.4,정상범위
004020,현대제철,39100.0,2026-06-01,17783.424659016782,-54.518095501235855,33250,2026-06-10,17.6,과대의심
004170,신세계,516000.0,2026-06-01,360566.065997801,-30.122855426782746,685000,2026-06-10,-24.7,과소의심
009150,삼성전기,2005000.0,2026-06-01,86655.42690934012,-95.67803357060647,1805000,2026-06-10,11.1,과대의심
010130,고려아연,1373000.0,2026-06-01,320310.89169754274,-76.67072893681409,1186000,2026-06-10,15.8,과대의심
012330,현대모비스,761000.0,2026-06-01,598529.3575243297,-21.349624504030263,570000,2026-06-10,33.5,과대의심
017670,SK텔레콤,112200.0,2026-06-01,60985.46411596537,-45.64575390733925,105700,2026-06-10,6.1,과대의심
034020,두산에너빌리티,106900.0,2026-06-01,15026.548279923154,-85.94335988781744,91100,2026-06-10,17.3,과대의심
035420,NAVER,280500.0,2026-06-03,274135.55109519075,-2.268965741464979,227000,2026-06-10,23.6,과대의심
042700,한미반도체,293000.0,2026-06-01,12269.887398472949,-95.8123251199751,270000,2026-06-10,8.5,과대의심
051910,LG화학,363500.0,2026-06-01,,,323000,2026-06-10,12.5,과대의심
207940,삼성바이오로직스,1377000.0,2026-06-01,223756.43851519225,-83.75044019497516,1298000,2026-06-10,6.1,과대의심
278470,에이피알,426500.0,2026-06-01,10475.997461225943,-97.54372861401502,410500,2026-06-10,3.9,정상범위
307950,현대오토에버,938000.0,2026-06-01,115100.16588726142,-87.72919340221094,683000,2026-06-10,37.3,과대의심
373220,LG에너지솔루션,455000.0,2026-06-01,,,385500,2026-06-10,18.0,과대의심
402340,SK스퀘어,1346000.0,2026-06-04,,,1183000,2026-06-10,13.8,과대의심
